N	3gram	Bakhtin_Pr	VLabPisa
1	в этом отношении	2	14
2	и т п	13	9
3	с другой стороны	4	8
4	не может быть	11	8
5	по отношению к	19	7
6	в конечном счете	4	5
7	в то же	3	5
8	в том что	3	5
9	то же время	3	5
10	в художественном творчестве	9	5
11	в художественном произведении	4	4
12	можно сказать что	2	4
13	не могут быть	2	4
14	для того чтобы	2	3
15	и др в	2	3
16	и в то	2	3
17	с одной стороны	3	2
18	в противном случае	3	2
19	во всех его	4	2
20	и не может	2	2
21	не только в	2	2
22	и художественного творчества	2	2
23	можно было бы	3	2
