N	2gram	Propp_Isto	VLabPisa
1	таким образом	15	32
2	в этом	19	29
3	не только	30	26
4	и в	41	26
5	и т	29	25
6	может быть	19	23
7	во сне	2	21
8	и не	12	20
9	т е	34	18
10	не может	19	17
11	т д	25	16
12	в том	14	15
13	в его	4	15
14	в силу	2	14
15	прежде всего	6	13
16	все это	9	13
17	в частности	3	12
18	как это	6	12
19	в качестве	5	12
20	что в	21	11
21	с другой	20	11
22	из них	2	11
23	то же	12	10
24	не могут	3	10
25	но и	20	10
26	и др	4	10
27	о том	15	10
28	по этому	3	10
29	к этому	5	9
30	об этом	7	9
31	в своем	3	8
32	том что	18	8
33	могут быть	3	8
34	другой стороны	17	8
35	все эти	8	8
36	было бы	4	8
37	только в	10	8
38	вместе с	17	8
39	это не	14	7
40	из этих	6	7
41	во всех	8	7
42	по отношению	3	7
43	в основном	2	7
44	то что	12	7
45	отношению к	3	7
46	тому что	2	7
47	как и	8	7
48	их в	3	7
49	в нем	12	7
50	главным образом	3	7
51	не было	3	7
52	говорит о	2	7
53	а не	9	7
54	не в	12	6
55	в то	6	6
56	в себе	3	6
57	или менее	3	6
58	он же	2	6
59	все же	14	6
60	у него	16	6
61	так и	8	6
62	более или	3	6
63	один из	7	6
64	в зависимости	3	6
65	и его	11	6
66	никогда не	16	5
67	даже в	2	5
68	сказать что	5	5
69	показывают что	7	5
70	в одном	2	5
71	перед нами	4	5
72	зависимости от	4	5
73	в их	4	5
74	и при	2	5
75	к тому	4	5
76	он говорит	4	5
77	как бы	8	5
78	утверждать что	3	5
79	в них	4	5
80	в целом	2	5
81	связи с	3	5
82	и есть	2	5
83	одна из	7	4
84	и ее	6	4
85	ее в	3	4
86	что он	29	4
87	по существу	5	4
88	с тем	8	4
89	следующим образом	4	4
90	когда он	5	4
91	должен быть	2	4
92	в самом	2	4
93	в ее	3	4
94	с ними	2	4
95	в своей	4	4
96	в связи	3	4
97	во время	7	4
98	можно сказать	3	4
99	в этой	2	4
100	из его	2	4
101	с его	4	4
102	и от	5	3
103	никак не	2	3
104	например в	6	3
105	при помощи	6	3
106	с этим	3	3
107	мы имеем	27	3
108	так же	6	3
109	но как	4	3
110	и он	8	3
111	том как	3	3
112	вслед за	2	3
113	всех этих	6	3
114	в форме	4	3
115	в конце	4	3
116	его в	7	3
117	и как	3	3
118	видеть в	3	3
119	если бы	3	3
120	как он	11	3
121	для того	2	3
122	у нас	4	3
123	как на	3	3
124	его не	4	3
125	всех других	2	3
126	мы знаем	4	3
127	того что	7	3
128	мы видели	17	3
129	попал в	2	3
130	далеко не	3	3
131	этот вопрос	3	3
132	видели что	4	3
133	что у	6	3
134	она не	3	3
135	а в	12	3
136	в котором	3	3
137	именно в	2	3
138	точки зрения	4	3
139	мира и	2	3
140	в которых	2	3
141	со своим	4	3
142	что не	3	3
143	жизни и	3	3
144	что и	13	3
145	сводится к	3	3
146	и по	7	3
147	или в	11	3
148	что они	5	3
149	вовсе не	6	3
150	в целях	2	2
151	можно указать	4	2
152	относится к	2	2
153	в книге	5	2
154	если в	3	2
155	от его	2	2
156	самого себя	2	2
157	если они	4	2
158	на эти	2	2
159	показывает что	12	2
160	которые в	3	2
161	три года	2	2
162	только у	2	2
163	то это	7	2
164	другом месте	2	2
165	о чем	2	2
166	одной стороны	12	2
167	можно было	3	2
168	вплоть до	2	2
169	что она	6	2
170	и через	2	2
171	начиная с	2	2
172	и формы	3	2
173	отличается от	4	2
174	в другом	2	2
175	у некоторых	2	2
176	этом и	2	2
177	и даже	3	2
178	от того	4	2
179	и у	3	2
180	ее как	2	2
181	связана с	4	2
182	а как	2	2
183	нет ни	2	2
184	в особенности	2	2
185	не всегда	6	2
186	в области	3	2
187	и наконец	6	2
188	у них	3	2
189	еще не	13	2
190	после этого	8	2
191	как у	2	2
192	начинается с	4	2
193	они должны	3	2
194	в которой	2	2
195	не по	2	2
196	всех его	2	2
197	что ни	2	2
198	в чем	5	2
199	сих пор	5	2
200	формы и	2	2
201	с одной	12	2
202	это видно	2	2
203	после того	6	2
204	но вот	2	2
205	не с	2	2
206	одной из	4	2
207	так например	5	2
208	что его	2	2
209	в жизни	2	2
210	от них	2	2
211	к ним	3	2
212	том чтобы	3	2
213	но не	8	2
214	ни с	2	2
215	стороны и	4	2
216	не менее	5	2
217	на него	3	2
218	но в	7	2
219	они не	4	2
220	на то	5	2
221	он может	4	2
222	он в	4	2
223	такое понимание	2	2
224	что такое	2	2
225	все его	3	2
226	не вполне	5	2
227	знаем что	5	2
228	себе и	3	2
229	в ней	4	2
230	этом же	2	2
231	на вопрос	5	2
232	но для	3	2
233	этой точки	3	2
234	показывает как	3	2
235	между прочим	3	2
236	тогда когда	3	2
237	из которых	3	2
238	в образе	4	2
239	он и	3	2
240	значит что	3	2
241	не столько	4	2
242	что мы	3	2
243	можно ли	2	2
244	по себе	2	2
245	всяком случае	3	2
246	и некоторые	2	2
247	отметить что	2	2
248	же как	6	2
249	должны быть	4	2
250	по его	2	2
251	только о	2	2
252	е в	2	2
253	он не	8	2
254	и сам	3	2
255	должна быть	3	2
256	в различных	3	2
257	ту же	3	2
258	но с	2	2
259	что при	3	2
260	хотя и	3	2
261	во всяком	3	2
262	до сих	4	2
263	того как	5	2
