N	3gram	Bakhtin_Fr	VLabPisa
1	в этом отношении	3	14
2	с другой стороны	2	8
3	по отношению к	3	7
4	более или менее	3	6
5	в то же	12	5
6	в том что	4	5
7	то же время	12	5
8	в одном из	2	4
9	в связи с	2	4
10	большей или меньшей	2	3
11	о том как	3	3
12	о том что	4	3
13	в конце концов	5	2
14	с одной стороны	3	2
15	в том числе	4	2
16	во всех его	3	2
17	в чем же	2	2
18	том числе и	2	2
19	до сих пор	3	2
20	таким образом в	2	2
21	в другом месте	3	2
22	в большей или	2	2
23	после того как	6	2
24	можно было бы	2	2
