N	2gram	Berdyaev_M	NovoeSre
1	новой истории	4	67
2	а не	36	17
3	и в	61	16
4	не может	39	16
5	во имя	26	15
6	совсем не	3	12
7	и не	26	11
8	и есть	21	10
9	истории и	2	9
10	в эпоху	2	9
11	что в	12	9
12	жизни и	6	8
13	в том	9	8
14	он не	34	8
15	не будет	3	7
16	может быть	42	7
17	как и	14	7
18	к новому	2	7
19	в этом	34	7
20	это есть	4	7
21	культуры и	2	7
22	никогда не	30	6
23	в высшей	4	6
24	лишь в	8	6
25	ни в	3	6
26	не в	16	6
27	высшей степени	4	6
28	не знает	12	6
29	но это	8	6
30	с его	6	6
31	не только	42	5
32	в жизни	7	5
33	должен быть	4	5
34	все это	6	5
35	в нем	26	5
36	в ней	23	5
37	истории в	2	5
38	и к	9	5
39	xix века	4	5
40	должно быть	5	4
41	по своему	3	4
42	в них	5	4
43	и для	7	4
44	есть лишь	23	4
45	не имеет	7	4
46	прежде всего	18	4
47	не было	25	4
48	и потому	17	4
49	и мы	2	4
50	то что	10	4
51	о том	5	4
52	это не	10	4
53	потому что	25	4
54	и все	13	4
55	быть может	9	4
56	значит что	4	4
57	имя свободы	2	3
58	смысле слова	7	3
59	в мире	12	3
60	тому как	2	3
61	но и	34	3
62	подобно тому	2	3
63	в наше	2	3
64	не значит	2	3
65	в ее	3	3
66	она не	9	3
67	гуманистическое самоутверждение	2	3
68	духа и	6	3
69	к тому	6	3
70	в россии	2	3
71	что такое	2	3
72	разлагается и	2	3
73	жизни в	3	3
74	в своей	18	3
75	жизни не	2	3
76	в истории	2	3
77	человека и	19	3
78	должна быть	7	3
79	революции и	5	3
80	как в	9	3
81	конечно не	3	3
82	не есть	21	3
83	за пределы	5	3
84	в духе	6	3
85	сказать что	5	3
86	во всех	3	3
87	вопрос о	7	3
88	не существует	5	3
89	бога и	13	3
90	не означает	2	3
91	в основе	4	3
92	нашей эпохи	2	3
93	с тем	10	3
94	свободы в	12	2
95	время как	2	2
96	в себе	12	2
97	и должно	3	2
98	к революции	5	2
99	к богу	5	2
100	что она	5	2
101	как будто	4	2
102	и с	6	2
103	свободы человека	2	2
104	для этого	3	2
105	себя в	6	2
106	но не	8	2
107	духа в	5	2
108	нет и	6	2
109	что все	5	2
110	думать что	4	2
111	и от	3	2
112	возвращается к	2	2
113	может уже	3	2
114	роль в	2	2
115	того чтобы	4	2
116	и это	16	2
117	хотя бы	8	2
118	всемирной истории	2	2
119	в духовной	2	2
120	не будут	2	2
121	когда мы	2	2
122	свободы и	13	2
123	а в	4	2
124	все время	3	2
125	и социализм	2	2
126	но в	12	2
127	том что	7	2
128	не к	6	2
129	мир и	3	2
130	и на	9	2
131	с этим	4	2
132	свобода духа	5	2
133	есть в	3	2
134	и что	4	2
135	все эти	3	2
136	она порождает	2	2
137	мы не	2	2
138	божественной жизни	2	2
139	на путях	4	2
140	на протяжении	2	2
141	не имеют	2	2
142	в свои	2	2
143	это и	7	2
144	каждого человека	3	2
145	мира и	6	2
146	у него	38	2
147	не знал	7	2
148	от всякого	2	2
149	уже не	8	2
150	этот мир	2	2
151	с их	2	2
152	так же	5	2
153	так и	5	2
154	ни к	2	2
155	могут быть	2	2
156	из глубины	5	2
157	но для	2	2
158	но она	3	2
159	если нет	9	2
160	в то	2	2
161	в судьбах	3	2
162	хотя и	2	2
163	связана с	9	2
164	мысли и	2	2
165	духовной жизни	3	2
166	на гибель	3	2
167	еще до	2	2
168	русской революции	3	2
169	место в	4	2
170	в центре	4	2
171	вместе с	7	2
172	я не	4	2
