N	2gram	Bakhtin_Pr	Russkaja
1	не может	18	22
2	и не	41	19
3	в том	22	17
4	в этом	24	17
5	с другом	6	14
6	и в	83	14
7	друг с	6	14
8	то что	14	13
9	точки зрения	17	11
10	то же	10	11
11	таким образом	9	11
12	в то	8	10
13	но и	16	10
14	же время	8	10
15	не только	14	9
16	том что	9	9
17	может быть	23	9
18	в себе	10	9
19	с точки	13	9
20	во всяком	2	9
21	прежде всего	20	8
22	и с	10	7
23	к тому	2	7
24	о том	3	7
25	мы должны	4	7
26	и если	4	7
27	если в	2	6
28	на самом	2	6
29	и для	5	6
30	для всех	2	6
31	в своих	4	6
32	и к	13	6
33	все это	11	6
34	и при	2	6
35	что он	6	6
36	в своем	2	6
37	или иной	2	5
38	а в	4	5
39	на то	2	5
40	было бы	6	5
41	хотя бы	6	5
42	а между	3	5
43	из которых	2	5
44	и на	27	5
45	потому что	9	5
46	при этом	6	5
47	в нем	21	5
48	жизни в	4	5
49	в своей	5	5
50	себя и	3	5
51	конечно не	11	5
52	только в	10	5
53	никогда не	10	5
54	он не	5	5
55	сих пор	8	5
56	между тем	2	5
57	во всех	15	5
58	по существу	7	5
59	до сих	8	5
60	и то	2	4
61	что в	5	4
62	но не	9	4
63	его в	4	4
64	все же	3	4
65	не могут	4	4
66	к этой	3	4
67	не в	10	4
68	как и	13	4
69	более или	3	4
70	в мире	8	4
71	как бы	27	4
72	можно было	2	4
73	а лишь	2	4
74	так как	12	4
75	и т.д	5	4
76	жизни и	13	4
77	в его	15	4
78	в их	7	4
79	на земле	14	4
80	во всем	5	4
81	в этой	3	4
82	себе и	2	4
83	вместе с	5	4
84	или менее	3	4
85	одной из	6	3
86	да и	3	3
87	все они	2	3
88	одна из	9	3
89	то это	4	3
90	для этого	2	3
91	в большинстве	9	3
92	что все	3	3
93	что это	2	3
94	о которых	2	3
95	в сознании	2	3
96	именно в	3	3
97	из этих	3	3
98	должно быть	4	3
99	всех этих	2	3
100	и потому	6	3
101	главным образом	3	3
102	в конце	5	3
103	из них	7	3
104	но если	4	3
105	ко всем	2	3
106	в самом	7	3
107	несмотря на	3	3
108	для них	2	3
109	что и	4	3
110	или в	7	3
111	вряд ли	2	3
112	он сам	5	3
113	и во	6	3
114	говорить о	2	3
115	той или	2	3
116	и по	5	3
117	еще не	10	3
118	что они	2	3
119	друг друга	7	3
120	не было	5	3
121	мы говорили	2	3
122	тем что	2	3
123	а следовательно	2	3
124	не о	2	2
125	и о	3	2
126	и от	4	2
127	не к	3	2
128	но она	3	2
129	с этим	3	2
130	есть и	4	2
131	тем самым	2	2
132	следовательно и	2	2
133	большинстве случаев	9	2
134	ее в	4	2
135	к нему	3	2
136	указывает на	2	2
137	на этой	2	2
138	она не	4	2
139	только с	3	2
140	но в	12	2
141	любовь к	4	2
142	ни в	4	2
143	в котором	8	2
144	остается в	2	2
145	так же	4	2
146	их в	3	2
147	на себя	3	2
148	в начале	2	2
149	от друга	2	2
150	сама по	2	2
151	людей и	6	2
152	даже и	3	2
153	в ней	8	2
154	уже не	5	2
155	на которой	2	2
156	время в	2	2
157	этот вопрос	3	2
158	в некоторых	7	2
159	в результате	2	2
160	по отношению	6	2
161	но для	2	2
162	с самим	7	2
163	отношении к	2	2
164	отличается от	2	2
165	и даже	5	2
166	а не	19	2
167	и тот	4	2
168	себя как	2	2
169	одному из	2	2
170	по себе	3	2
171	от него	3	2
172	мы можем	9	2
173	место в	3	2
174	к себе	8	2
175	проявляется в	4	2
176	отметить что	3	2
177	если только	3	2
178	от своей	2	2
179	говорили в	2	2
180	в других	2	2
181	и тем	4	2
182	и что	3	2
183	но это	7	2
184	все эти	9	2
185	совершенно не	4	2
186	и наконец	4	2
187	в этих	8	2
188	друг от	2	2
189	только на	3	2
190	в таком	3	2
191	как будто	3	2
192	именно на	2	2
193	во многих	2	2
194	в области	6	2
195	если же	5	2
196	всем этим	2	2
197	с ним	3	2
198	быть и	2	2
199	у него	5	2
200	некоторых из	2	2
201	там и	2	2
202	мы уже	9	2
203	и более	3	2
