N	2gram	Berdyaev_O	KFilosof
1	может быть	11	45
2	в его	7	42
3	в нем	10	32
4	не может	4	29
5	и не	13	28
6	и в	19	28
7	не есть	2	22
8	в себе	3	21
9	и его	4	18
10	в своем	2	17
11	в ее	2	17
12	а не	11	17
13	в этом	12	15
14	не в	11	13
15	для него	5	13
16	к нему	3	12
17	в своей	2	11
18	все эти	4	11
19	это не	3	10
20	и для	2	10
21	все это	6	10
22	и есть	3	10
23	но и	13	9
24	как бы	3	9
25	и все	10	9
26	не было	9	8
27	лишь в	7	8
28	в единстве	2	8
29	было бы	3	8
30	то что	5	7
31	что и	2	7
32	момент в	2	7
33	должно быть	2	6
34	отношение к	5	6
35	в том	5	6
36	не имеет	2	6
37	он не	7	6
38	никогда не	9	5
39	его в	2	5
40	все же	2	5
41	не только	11	5
42	хотя бы	3	5
43	жизни в	2	5
44	еще не	3	5
45	а в	5	5
46	но в	2	5
47	есть лишь	4	5
48	как и	6	5
49	с ним	3	5
50	том что	2	4
51	что в	4	4
52	прежде всего	9	4
53	в своих	3	4
54	до конца	7	3
55	ничего не	2	3
56	от него	7	3
57	человека и	10	3
58	этого мира	2	3
59	в другом	2	3
60	тем что	2	3
61	для того	3	3
62	и ни	2	3
63	о том	3	3
64	могут быть	3	3
65	и этим	2	3
66	и на	2	3
67	что не	4	3
68	того что	3	3
69	и то	2	2
70	и потому	2	2
71	и ее	3	2
72	к этому	2	2
73	вопрос о	10	2
74	это было	3	2
75	как к	2	2
76	что он	3	2
77	так и	2	2
78	этом мире	2	2
79	что есть	2	2
80	с тем	2	2
81	можно ли	2	2
82	ни у	2	2
83	него и	4	2
84	по себе	2	2
85	потому что	9	2
86	совсем не	2	2
87	того чтобы	4	2
88	человек не	7	2
89	ведь это	2	2
90	человек и	4	2
91	в этой	5	2
92	с его	4	2
