N	2gram	Medvedev_S	Problemy
1	и в	3	106
2	как бы	2	70
3	может быть	2	66
4	в его	3	56
5	в этом	5	52
6	но и	2	40
7	не только	3	36
8	то же	2	36
9	то что	2	33
10	все это	7	29
11	не в	3	27
12	таким образом	2	22
13	только в	2	20
14	что в	2	19
15	отношению к	2	19
16	по отношению	2	18
17	еще не	2	18
18	в том	5	17
19	в конце	2	14
20	том что	2	12
21	было бы	2	12
22	за пределы	2	12
23	и что	2	12
24	конце концов	2	11
25	как будто	2	11
26	далеко не	2	10
27	это и	2	8
28	должна быть	2	8
29	в результате	2	8
30	по существу	2	6
31	как же	3	6
32	но ведь	3	6
33	и только	3	6
34	к которому	2	5
35	ведь это	2	5
36	или даже	2	3
37	и мы	2	3
38	в смысле	2	3
39	она может	2	2
40	по природе	2	2
41	идей и	2	2
42	для нас	3	2
43	только как	2	2
