N	3gram	Losev_Vesc	Analitik
1	в том что	9	25
2	не может быть	22	19
3	в то же	5	16
4	о том что	4	15
5	в данном случае	2	14
6	то же время	4	14
7	мы имеем дело	2	11
8	подобно тому как	5	9
9	с одной стороны	3	9
10	с другой стороны	3	9
11	по крайней мере	10	9
12	в свою очередь	5	9
13	в том чтобы	2	9
14	в этом отношении	2	8
15	не только в	5	8
16	с точки зрения	6	8
17	во всяком случае	2	7
18	что иное как	12	7
19	в свое время	2	7
20	тем не менее	11	6
21	не что иное	12	6
22	так или иначе	5	6
23	по природе своей	2	6
24	есть не что	8	5
25	не только не	4	5
26	в той или	2	5
27	в самом деле	7	4
28	и не в	3	4
29	том что он	2	4
30	для того чтобы	2	4
31	из того что	3	4
32	в основе своей	2	4
33	и в этом	2	4
34	в том или	2	4
35	в этом смысле	2	4
36	тех или иных	2	4
37	сама по себе	7	4
38	то ни было	12	3
39	бы то ни	12	3
40	как раз и	2	3
41	в первом случае	2	3
42	дело не с	2	3
43	содержит в себе	11	3
44	сам по себе	4	3
45	хотя бы и	2	3
46	а не в	2	3
47	имеем дело не	2	3
48	можно сказать что	3	3
49	сами по себе	3	3
50	крайней мере в	2	3
51	дело в том	4	3
52	и то что	5	3
53	одно и то	5	2
54	а не только	2	2
55	и то же	5	2
56	в применении к	2	2
57	более или менее	4	2
58	с самим собою	2	2
59	в отрыве от	3	2
60	можно было бы	3	2
61	к тому что	2	2
62	не есть ни	12	2
63	друг с другом	2	2
64	заключается в том	3	2
65	внутреннего и внешнего	2	2
66	этой точки зрения	3	2
67	с этой точки	3	2
68	не есть вещь	4	2
69	не только к	2	2
70	на то что	7	2
71	что не есть	4	2
