N	2gram	Ircho_Kome	UchenyiS
1	и в	37	14
2	не только	13	10
3	а не	5	10
4	и не	28	8
5	прежде всего	7	8
6	то что	5	7
7	не может	9	7
8	в этом	18	7
9	может быть	14	6
10	то же	14	5
11	хотя бы	5	5
12	все это	7	5
13	в конечном	2	4
14	но и	18	4
15	в этой	7	4
16	конечном счете	3	4
17	с другой	5	4
18	в их	5	4
19	конечно не	4	4
20	не о	3	3
21	в частности	4	3
22	для этого	3	3
23	не следует	2	3
24	это не	3	3
25	в своей	6	3
26	все же	9	3
27	не как	2	3
28	как и	10	3
29	в то	14	3
30	но в	7	3
31	же время	12	3
32	к сожалению	2	3
33	ни было	3	3
34	было бы	7	3
35	в области	3	3
36	бы то	3	3
37	то ни	4	3
38	другой стороны	2	3
39	в самом	17	2
40	в себе	4	2
41	что мы	4	2
42	и у	4	2
43	о чем	11	2
44	же не	3	2
45	же самое	3	2
46	что он	15	2
47	надо было	3	2
48	таким образом	16	2
49	но не	9	2
50	и для	7	2
51	если бы	18	2
52	более чем	6	2
53	между тем	6	2
54	самом деле	13	2
55	только в	3	2
56	одним из	2	2
57	а его	2	2
58	что она	10	2
59	ничего не	6	2
60	и с	5	2
61	не случайно	3	2
62	что и	12	2
63	могут быть	3	2
64	не приходится	5	2
65	не могут	2	2
66	сих пор	12	2
67	тем что	12	2
68	том что	22	2
69	а как	2	2
70	материал для	2	2
71	в его	12	2
72	в том	24	2
73	этом отношении	2	2
74	если не	7	2
75	с его	6	2
76	как раз	9	2
77	должна быть	2	2
78	представляется нам	2	2
79	конце концов	3	2
80	его и	3	2
81	а о	2	2
82	по существу	4	2
83	не в	7	2
84	в конце	14	2
85	мы не	6	2
86	до сих	12	2
87	не столько	3	2
