N	3gram	Bakhtin_Fr	Komedia
1	в том что	6	29
2	до сих пор	7	16
3	то же время	5	16
4	в то же	5	16
5	о том что	3	13
6	для того чтобы	2	11
7	по отношению к	2	9
8	с одной стороны	2	9
9	во всяком случае	2	7
10	дошедших до нас	2	7
11	с точки зрения	6	6
12	в том числе	10	6
13	в отличие от	4	6
14	в этом отношении	5	5
15	в это время	2	4
16	во второй половине	2	4
17	но все же	3	4
18	по сравнению с	2	4
19	на протяжении всего	5	3
20	но и в	5	3
21	друг с другом	2	3
22	в новое время	4	3
23	том числе и	7	3
24	в большинстве случаев	2	2
25	как мы видели	2	2
26	подобно тому как	2	2
27	так и в	3	2
28	не только в	5	2
29	в основе своей	2	2
30	и в том	2	2
31	видеть в нем	2	2
32	при этом что	2	2
33	так и не	3	2
34	в разной степени	2	2
35	и в то	2	2
36	и его современники	2	2
37	имеем в виду	2	2
