N	3gram	Tiupa_Disk	Hudozhes
1	по отношению к	13	10
2	не сводится к	4	9
3	в том что	18	8
4	в то же	7	7
5	в отличие от	12	7
6	то же время	9	7
7	с другой стороны	4	6
8	более или менее	2	6
9	в конечном счете	2	5
10	состоит в том	3	5
11	той или иной	6	5
12	в силу своей	2	4
13	того или иного	2	4
14	не может быть	5	4
15	одно и то	2	3
16	по сути своей	2	3
17	ни в мире	2	3
18	тот или иной	2	3
19	по сути дела	3	3
20	и то же	2	3
21	с точки зрения	3	3
22	с одной стороны	12	3
23	в том числе	3	3
24	подобно тому как	4	3
25	можно сказать что	3	3
26	и того же	4	3
27	одного и того	4	3
28	несет в себе	3	3
29	и прежде всего	2	2
30	до известной степени	2	2
31	в русской литературе	2	2
32	в этом мире	2	2
33	и в то	2	2
34	и в форме	2	2
35	сказания или анекдота	2	2
36	том числе и	3	2
37	как к содержанию	2	2
38	в значительной степени	3	2
39	мы имеем дело	3	2
40	в рамках которого	2	2
41	в равной степени	2	2
42	значении этого термина	2	2
43	по своей природе	3	2
44	а с другой	4	2
45	со стороны адресата	2	2
46	в свою очередь	3	2
47	индивидуального речевого замысла	2	2
48	в основе своей	4	2
