N	2gram	Bakhtin_Pr	OGranits
1	и в	38	13
2	и его	16	12
3	прежде всего	13	9
4	и не	42	8
5	не может	27	8
6	может быть	26	8
7	в его	43	7
8	и пр	2	7
9	точки зрения	8	7
10	эстетический объект	37	7
11	не только	9	6
12	мы должны	2	6
13	как бы	22	6
14	таким образом	10	6
15	только в	13	6
16	то что	8	6
17	в поэзии	9	5
18	эстетического объекта	37	5
19	все же	6	5
20	с точки	6	5
21	и эта	2	5
22	и наконец	6	5
23	хотя бы	4	5
24	в музыке	5	5
25	художественного произведения	11	5
26	мы можем	6	4
27	но в	4	4
28	лишь в	2	4
29	то же	5	4
30	не является	3	4
31	произведения как	8	4
32	в своей	7	4
33	материала в	10	4
34	все это	3	4
35	было бы	8	4
36	в двух	2	4
37	вопроса о	3	4
38	в каждом	2	4
39	на фоне	3	4
40	никогда не	5	3
41	да и	3	3
42	языка как	2	3
43	и для	11	3
44	слово в	2	3
45	и все	3	3
46	материала и	2	3
47	в ее	4	3
48	отношению к	19	3
49	как и	7	3
50	в пределах	6	3
51	не в	7	3
52	в их	10	3
53	говорить о	3	3
54	в себе	4	3
55	к единству	5	3
56	что в	7	3
57	по отношению	21	3
58	поэтического произведения	3	3
59	самом деле	6	3
60	за пределы	12	3
61	так и	5	3
62	в искусстве	12	3
63	здесь мы	2	3
64	но и	9	3
65	в самом	7	2
66	могут быть	5	2
67	может иметь	5	2
68	в этом	15	2
69	смысле слова	2	2
70	в них	5	2
71	произведения но	2	2
72	и должно	3	2
73	данном случае	4	2
74	языка но	2	2
75	в том	8	2
76	тем что	2	2
77	есть не	2	2
78	несмотря на	3	2
79	в целом	3	2
80	если бы	3	2
81	в произведении	4	2
82	с одной	3	2
83	не имеет	9	2
84	или иного	2	2
85	и др	8	2
86	материал в	4	2
87	более того	4	2
88	значение материала	4	2
89	с другой	7	2
90	там где	6	2
91	изобразительных искусствах	2	2
92	слова и	3	2
93	от всех	4	2
94	а в	6	2
95	и тем	3	2
96	том что	3	2
97	того или	2	2
98	а как	3	2
99	только его	3	2
100	и к	3	2
101	в связи	2	2
102	в данном	4	2
103	объект и	4	2
104	не менее	4	2
105	с ними	4	2
106	все эти	5	2
107	художественное произведение	8	2
108	в области	11	2
109	что эта	2	2
110	формальный метод	3	2
111	нуждается в	2	2
112	и при	2	2
113	в своих	2	2
114	в нем	15	2
115	не на	5	2
116	данного материала	3	2
117	в тех	3	2
118	при этом	5	2
119	и ее	2	2
120	форм и	2	2
121	а не	5	2
122	в ней	4	2
123	входит в	8	2
124	как в	4	2
125	другой стороны	4	2
126	во всем	2	2
127	при восприятии	2	2
128	в словесном	2	2
129	художественных произведений	2	2
130	одной стороны	3	2
131	между тем	7	2
132	в чем	2	2
133	имеет место	5	2
134	в другом	2	2
135	вовсе не	2	2
136	с помощью	7	2
137	может стать	3	2
