N	2gram	Voloshinov	OGranits
1	и в	12	13
2	и его	13	12
3	прежде всего	8	9
4	и не	10	8
5	не может	16	8
6	может быть	14	8
7	в его	2	7
8	и пр	3	7
9	точки зрения	14	7
10	не только	4	6
11	социального общения	4	6
12	как бы	13	6
13	таким образом	12	6
14	только в	6	6
15	то что	5	6
16	в поэзии	3	5
17	в материале	2	5
18	все же	4	5
19	с точки	2	5
20	социальная оценка	2	5
21	и наконец	3	5
22	хотя бы	5	5
23	художественного произведения	7	5
24	в процессе	6	5
25	мы можем	2	4
26	но в	5	4
27	то же	5	4
28	но мы	2	4
29	в своей	3	4
30	все это	3	4
31	социальной группы	3	4
32	мы не	3	4
33	никогда не	5	3
34	да и	3	3
35	одно и	2	3
36	и для	3	3
37	слово в	3	3
38	общего с	2	3
39	и то	2	3
40	и все	2	3
41	материала и	4	3
42	отношению к	11	3
43	и уже	3	3
44	как и	5	3
45	в пределах	3	3
46	не в	4	3
47	так как	9	3
48	в себе	3	3
49	что в	2	3
50	по отношению	11	3
51	точку зрения	2	3
52	но для	3	3
53	поэтического произведения	3	3
54	самом деле	3	3
55	за пределы	4	3
56	так и	4	3
57	но и	3	3
58	в самом	4	2
59	могут быть	2	2
60	конечно в	2	2
61	в этом	4	2
62	в них	3	2
63	данном случае	2	2
64	уже в	2	2
65	в том	6	2
66	в отношении	2	2
67	в интонации	6	2
68	если бы	9	2
69	и слушателя	3	2
70	с одной	2	2
71	зависимости от	4	2
72	и др	5	2
73	разрыв между	2	2
74	более того	2	2
75	с другой	4	2
76	там где	2	2
77	слова и	6	2
78	от всех	2	2
79	социологический метод	2	2
80	том что	5	2
81	жизненного высказывания	3	2
82	и к	4	2
83	в зависимости	2	2
84	в данном	2	2
85	не менее	3	2
86	и следовательно	5	2
87	все эти	3	2
88	художественное произведение	3	2
89	к предмету	5	2
90	так же	3	2
91	те же	2	2
92	героя и	5	2
93	нуждается в	3	2
94	с этой	2	2
95	в нем	6	2
96	жизненной речи	3	2
97	истории литературы	2	2
98	при этом	6	2
99	и ее	3	2
100	нет ничего	2	2
101	а не	5	2
102	в ней	6	2
103	общения и	2	2
104	как в	5	2
105	другой стороны	2	2
106	в словесном	2	2
107	и является	4	2
108	одной стороны	2	2
109	между тем	3	2
110	в чем	2	2
111	имеет место	2	2
112	с помощью	6	2
113	для него	3	2
114	может стать	2	2
