N	2gram	Potebnia_M	Russkaja
1	не может	18	22
2	и не	28	19
3	в том	47	17
4	в этом	19	17
5	и в	48	14
6	то что	37	13
7	точки зрения	4	11
8	то же	35	11
9	таким образом	24	11
10	в то	16	10
11	но и	30	10
12	же время	8	10
13	не только	32	9
14	том что	28	9
15	может быть	46	9
16	в себе	26	9
17	с точки	3	9
18	во всяком	4	9
19	того чтобы	5	8
20	как на	6	8
21	прежде всего	6	8
22	самого себя	3	7
23	и с	4	7
24	к тому	9	7
25	о том	7	7
26	в данном	3	7
27	мы должны	6	7
28	и если	4	7
29	не будет	4	7
30	самом деле	5	7
31	с тем	9	6
32	если в	2	6
33	на самом	4	6
34	своего народа	2	6
35	в своих	2	6
36	и к	5	6
37	если бы	20	6
38	всяком случае	3	6
39	все это	4	6
40	для того	8	6
41	и при	5	6
42	что он	8	6
43	признать что	2	6
44	в своем	6	6
45	для него	14	6
46	вопрос о	2	5
47	а в	14	5
48	на то	6	5
49	было бы	16	5
50	хотя бы	3	5
51	а между	6	5
52	и на	5	5
53	потому что	82	5
54	при этом	6	5
55	в нем	16	5
56	он должен	2	5
57	в своей	2	5
58	себя и	4	5
59	конечно не	2	5
60	только в	29	5
61	никогда не	2	5
62	и только	5	5
63	он не	4	5
64	сих пор	4	5
65	между тем	19	5
66	до сих	4	5
67	а потому	8	5
68	и то	13	4
69	что в	30	4
70	но не	8	4
71	его в	6	4
72	все же	3	4
73	не могут	7	4
74	не в	24	4
75	как и	22	4
76	более или	6	4
77	в мире	3	4
78	как бы	10	4
79	все что	4	4
80	при таких	2	4
81	так как	20	4
82	тогда когда	20	4
83	что же	3	4
84	жизни и	3	4
85	в его	6	4
86	том случае	2	4
87	со стороны	4	4
88	в их	2	4
89	отказаться от	2	4
90	во всем	2	4
91	в этой	3	4
92	вместе с	22	4
93	от того	10	4
94	бы то	2	4
95	или менее	6	4
96	одной из	3	3
97	данном случае	3	3
98	да и	2	3
99	то это	9	3
100	том чтобы	4	3
101	о котором	2	3
102	в большинстве	2	3
103	что все	5	3
104	что это	6	3
105	с нею	5	3
106	но мы	3	3
107	этом случае	2	3
108	что для	5	3
109	в сознании	36	3
110	себя от	2	3
111	именно в	5	3
112	из этих	10	3
113	должно быть	9	3
114	не есть	24	3
115	и потому	9	3
116	что оно	12	3
117	из них	11	3
118	но если	2	3
119	ко всем	5	3
120	в самом	11	3
121	случае если	2	3
122	и как	8	3
123	несмотря на	2	3
124	что и	16	3
125	или в	4	3
126	лишь в	2	3
127	вряд ли	4	3
128	он сам	2	3
129	таким же	2	3
130	говорить о	6	3
131	и по	5	3
132	связи с	6	3
133	еще не	9	3
134	в виде	3	3
135	того что	24	3
136	что они	2	3
137	друг друга	6	3
138	не было	12	3
139	и т	12	3
140	при котором	2	3
141	тем что	13	3
142	что только	7	2
143	и о	6	2
144	в течение	2	2
145	и от	5	2
146	не к	4	2
147	с этим	12	2
148	в таких	4	2
149	есть и	3	2
150	тем самым	11	2
151	следовательно и	2	2
152	большинстве случаев	2	2
153	ее в	2	2
154	для себя	3	2
155	тому что	6	2
156	к нему	7	2
157	указывает на	8	2
158	она не	4	2
159	но в	8	2
160	не подлежит	2	2
161	ни в	2	2
162	в котором	7	2
163	что такое	2	2
164	так же	6	2
165	их в	3	2
166	в начале	3	2
167	этого не	3	2
168	от друга	2	2
169	сама по	3	2
170	это в	2	2
171	или от	4	2
172	людей и	2	2
173	в ней	11	2
174	уже не	11	2
175	на которой	4	2
176	на это	4	2
177	время в	3	2
178	бы для	2	2
179	по отношению	12	2
180	деятельности и	2	2
181	но даже	3	2
182	даже не	2	2
183	и вместе	6	2
184	отношении к	3	2
185	если не	6	2
186	в силу	7	2
187	и даже	3	2
188	а не	22	2
189	и тот	5	2
190	для нас	40	2
191	по этому	2	2
192	представить себе	5	2
193	по себе	26	2
194	от него	2	2
195	мы можем	13	2
196	не можем	8	2
197	говоря о	5	2
198	целый ряд	2	2
199	точно так	15	2
200	место в	4	2
201	зависит от	7	2
202	проявляется в	2	2
203	в других	3	2
204	и тем	8	2
205	к чему	2	2
206	тогда как	8	2
207	и что	13	2
208	но это	9	2
209	что с	2	2
210	это только	2	2
211	том же	2	2
212	бы ни	6	2
213	только для	3	2
214	и наконец	3	2
215	а с	4	2
216	и тогда	4	2
217	в этих	2	2
218	друг от	2	2
219	только на	4	2
220	в таком	6	2
221	и есть	4	2
222	так что	14	2
223	во время	4	2
224	друг другу	2	2
225	время когда	3	2
226	именно на	2	2
227	во многих	3	2
228	должна быть	2	2
229	это потому	2	2
230	отношения к	2	2
231	касается до	2	2
232	в области	3	2
233	от нас	4	2
234	с ним	10	2
235	в глазах	3	2
236	у него	3	2
237	мы уже	5	2
238	будет ли	3	2
239	и более	4	2
240	что действительно	2	2
241	существование в	2	2
242	будет не	2	2
243	и состоит	2	2
