N	3gram	Bakhtin_sl	Hudozhes
1	по отношению к	2	10
2	в том что	4	8
3	в то же	15	7
4	в отличие от	12	7
5	то же время	15	7
6	с другой стороны	5	6
7	более или менее	5	6
8	той или иной	13	5
9	того или иного	2	4
10	не может быть	11	4
11	одно и то	2	3
12	и то же	2	3
13	с точки зрения	11	3
14	с одной стороны	7	3
15	тем не менее	2	3
16	в связи с	2	3
17	до известной степени	3	2
18	и в то	6	2
19	в известном смысле	2	2
20	в том и	2	2
21	в значительной степени	6	2
22	к тому что	2	2
23	включает в себя	3	2
24	может быть и	2	2
25	сама по себе	2	2
26	в свою очередь	3	2
27	в отношении к	9	2
28	в той или	12	2
