N	3gram	Losev_Vlad	VLabPisa
1	и т д	3	16
2	в этом отношении	2	14
3	в письме к	12	11
4	с другой стороны	3	8
5	не может быть	4	8
6	по этому поводу	2	7
7	более или менее	5	6
8	в то же	7	5
9	в том что	13	5
10	то же время	7	5
11	вместе с тем	2	4
12	можно сказать что	3	4
13	в связи с	7	4
14	для того чтобы	3	3
15	и в то	3	3
16	о том что	9	3
17	как это делает	2	3
18	в конце концов	6	2
19	вот что пишет	2	2
20	во всяком случае	8	2
21	не только в	3	2
22	мы знаем что	2	2
23	не в том	3	2
24	также и в	2	2
25	от июля года	3	2
26	после того как	2	2
27	в том чтобы	4	2
28	из них не	2	2
