N	2gram	Bakhtin_Fr	Formalny
1	и в	105	95
2	и не	34	78
3	может быть	11	66
4	в этом	22	61
5	не может	9	57
6	и пр	5	53
7	вовсе не	25	53
8	таким образом	5	52
9	и его	24	51
10	так и	16	50
11	точки зрения	10	47
12	в нем	16	42
13	в его	24	42
14	прежде всего	26	41
15	с точки	6	40
16	как и	15	39
17	не в	4	35
18	в самом	7	35
19	в процессе	2	34
20	но и	20	33
21	то же	6	32
22	самом деле	3	32
23	не только	24	30
24	в пределах	3	28
25	в том	17	26
26	то что	7	25
27	на самом	6	24
28	при этом	10	24
29	в своей	8	24
30	лишь в	4	24
31	в ней	7	23
32	связи с	5	23
33	было бы	4	23
34	в то	5	22
35	в истории	5	21
36	как бы	33	21
37	что в	4	21
38	и с	8	21
39	в их	6	20
40	не менее	2	20
41	между ними	4	20
42	и от	3	20
43	входит в	4	20
44	как мы	12	20
45	же время	5	20
46	место в	4	20
47	не могут	4	19
48	все это	16	19
49	хотя бы	2	19
50	все же	10	18
51	и все	7	18
52	все эти	15	18
53	в связи	2	18
54	с его	9	18
55	и их	3	18
56	только в	16	18
57	более того	3	17
58	как в	6	17
59	как раз	3	17
60	так же	2	16
61	в искусстве	3	16
62	во всяком	2	16
63	совершенно не	5	16
64	с другой	3	16
65	потому что	6	16
66	всяком случае	2	16
67	его в	7	15
68	но в	16	15
69	бы в	2	15
70	так как	11	15
71	во всех	13	15
72	в литературе	9	15
73	именно в	6	15
74	и на	25	15
75	что он	5	14
76	только на	3	14
77	в целом	3	14
78	в ее	5	14
79	в своем	11	14
80	еще не	8	14
81	в жизни	7	14
82	в этой	11	14
83	и потому	14	14
84	в единстве	2	14
85	жизни и	14	14
86	как ее	2	13
87	до конца	4	13
88	того что	3	13
89	а в	4	13
90	могут быть	4	13
91	для них	2	13
92	что и	2	13
93	она не	2	13
94	тем что	5	13
95	по отношению	2	12
96	того чтобы	3	12
97	там где	3	12
98	и здесь	4	12
99	к тому	3	12
100	отношению к	2	12
101	и для	3	12
102	оно не	2	12
103	уже не	3	12
104	никогда не	11	11
105	этом отношении	5	11
106	литературы в	4	11
107	это и	3	11
108	в общем	4	11
109	в основе	8	11
110	так сказать	5	11
111	в большинстве	2	11
112	но не	7	11
113	что они	2	11
114	для него	12	11
115	между тем	5	11
116	не о	2	10
117	его целом	2	10
118	друг друга	3	10
119	здесь и	5	10
120	и др	32	10
121	формы и	7	10
122	не было	3	10
123	в дальнейшем	10	10
124	по существу	2	10
125	мы видели	3	10
126	с ее	3	10
127	не является	4	10
128	и как	2	10
129	в своих	8	10
130	главным образом	6	10
131	большинстве случаев	2	10
132	раз и	2	10
133	конечно не	2	10
134	он не	3	10
135	на фоне	4	10
136	ничего не	3	9
137	здесь не	3	9
138	но это	5	9
139	и до	6	9
140	бы ни	2	9
141	менее всего	5	9
142	и даже	10	9
143	литературы и	7	9
144	от всех	3	9
145	еще более	6	9
146	отношения к	5	9
147	это не	4	8
148	в других	3	8
149	до сих	7	8
150	одной стороны	2	8
151	в них	13	8
152	с одной	2	8
153	в области	10	8
154	всех этих	10	8
155	сих пор	7	8
156	и к	7	8
157	роль в	6	8
158	для того	2	8
159	и речи	2	8
160	том что	9	7
161	в себе	7	7
162	смысла и	2	7
163	как к	3	7
164	его от	2	7
165	даже и	5	7
166	не входит	2	7
167	в сущности	20	7
168	не на	2	7
169	значение и	3	7
170	известной степени	2	7
171	форм и	11	7
172	бы быть	2	7
173	сказать что	12	7
174	к этому	2	7
175	время в	3	7
176	применении к	3	7
177	в особенности	7	7
178	можно говорить	3	7
179	жизни в	8	7
180	и наконец	2	7
181	в применении	3	7
182	в какой	2	7
183	и более	4	7
184	но все	5	7
185	из них	7	7
186	он и	3	7
187	в той	5	7
188	в конце	3	6
189	отношение к	9	6
190	на этом	2	6
191	и других	6	6
192	в частности	6	6
193	в формах	3	6
194	так в	4	6
195	и это	3	6
196	в этих	6	6
197	речевого общения	3	6
198	один из	5	6
199	он был	3	6
200	ее в	2	6
201	своей статье	2	6
202	из этих	7	6
203	при таком	2	6
204	особенно в	2	6
205	за пределы	10	6
206	кроме того	2	6
207	но для	3	6
208	жизнь и	3	6
209	искусства и	6	6
