N	2gram	Losev_Dial	Russkaja
1	не может	16	22
2	и не	51	19
3	в том	20	17
4	в этом	18	17
5	с другом	2	14
6	и в	35	14
7	друг с	2	14
8	то что	25	13
9	точки зрения	25	11
10	то же	21	11
11	таким образом	5	11
12	в то	10	10
13	но и	17	10
14	же время	9	10
15	не только	26	9
16	том что	18	9
17	может быть	30	9
18	в себе	23	9
19	с точки	18	9
20	во всяком	5	9
21	прежде всего	14	8
22	к богу	3	7
23	и с	10	7
24	к тому	6	7
25	о том	8	7
26	в данном	5	7
27	мы должны	6	7
28	и если	5	7
29	не будет	2	7
30	отнюдь не	13	7
31	ни к	2	7
32	самом деле	6	7
33	с тем	2	6
34	если в	5	6
35	на самом	5	6
36	и для	2	6
37	и к	8	6
38	если бы	12	6
39	всяком случае	3	6
40	все это	14	6
41	для того	2	6
42	и при	3	6
43	что он	16	6
44	в своем	7	6
45	для него	2	6
46	вопрос о	3	5
47	или иной	4	5
48	а в	8	5
49	на то	5	5
50	было бы	14	5
51	хотя бы	6	5
52	потому что	23	5
53	при этом	2	5
54	в нем	25	5
55	в своей	9	5
56	конечно не	9	5
57	только в	7	5
58	никогда не	18	5
59	и только	5	5
60	он не	5	5
61	сих пор	4	5
62	между тем	3	5
63	во всех	3	5
64	по существу	2	5
65	до сих	4	5
66	а потому	3	5
67	и то	15	4
68	что в	19	4
69	но не	9	4
70	его в	3	4
71	все же	9	4
72	себя в	2	4
73	не могут	4	4
74	не в	12	4
75	как и	10	4
76	более или	5	4
77	ли это	4	4
78	в мире	3	4
79	как бы	19	4
80	все что	2	4
81	можно было	5	4
82	а лишь	3	4
83	идет речь	2	4
84	так как	24	4
85	тогда когда	6	4
86	что же	5	4
87	жизни и	9	4
88	в его	4	4
89	со стороны	2	4
90	в их	5	4
91	на земле	3	4
92	точку зрения	3	4
93	когда они	3	4
94	во всем	3	4
95	в этой	3	4
96	себе и	5	4
97	вместе с	3	4
98	от того	2	4
99	в другое	2	4
100	в корне	2	4
101	или менее	5	4
102	да и	11	3
103	все они	2	3
104	то это	6	3
105	для этого	2	3
106	о котором	2	3
107	что все	2	3
108	что это	21	3
109	с нею	3	3
110	о которых	2	3
111	но мы	3	3
112	что для	3	3
113	в сознании	3	3
114	и сейчас	3	3
115	именно в	4	3
116	из этих	2	3
117	должно быть	7	3
118	только к	2	3
119	не есть	67	3
120	всех этих	4	3
121	и потому	6	3
122	что оно	9	3
123	при условии	3	3
124	в другом	6	3
125	главным образом	2	3
126	в конце	5	3
127	из них	5	3
128	но если	6	3
129	в самом	6	3
130	и как	14	3
131	можно ли	3	3
132	несмотря на	12	3
133	знаем что	2	3
134	так чтобы	2	3
135	что и	7	3
136	конце концов	4	3
137	или в	2	3
138	он сам	6	3
139	из этого	2	3
140	говорить о	9	3
141	той или	11	3
142	и по	5	3
143	может только	3	3
144	связи с	3	3
145	еще не	4	3
146	в виде	2	3
147	того что	6	3
148	в качестве	2	3
149	что они	8	3
150	не было	7	3
151	и ни	7	3
152	и т	31	3
153	тем что	2	3
154	то в	8	3
155	не о	5	2
156	и о	4	2
157	и должно	3	2
158	любви к	2	2
159	даже если	4	2
160	и от	5	2
161	чтобы понять	3	2
162	не к	2	2
163	но она	4	2
164	с этим	5	2
165	однако они	2	2
166	есть и	11	2
167	были бы	3	2
168	ее в	2	2
169	значило бы	2	2
170	тому что	4	2
171	к нему	12	2
172	указывает на	3	2
173	помнить что	2	2
174	она не	10	2
175	только с	3	2
176	но в	8	2
177	ни в	20	2
178	в котором	5	2
179	что такое	13	2
180	так же	6	2
181	их в	2	2
182	на почве	2	2
183	для нее	2	2
184	сама по	12	2
185	и человек	2	2
186	ни от	2	2
187	даже и	3	2
188	в ней	4	2
189	уже не	3	2
190	в результате	2	2
191	но для	2	2
192	даже не	4	2
193	и вместе	2	2
194	отношении к	3	2
195	отличается от	3	2
196	в силу	6	2
197	и даже	23	2
198	а не	24	2
199	представить себе	2	2
200	по себе	39	2
201	от него	4	2
202	мы можем	5	2
203	нисколько не	7	2
204	говоря о	2	2
205	точно так	3	2
206	речь идет	2	2
207	проявляется в	2	2
208	в меру	5	2
209	– не	17	2
210	будет в	2	2
211	и тем	2	2
212	и является	2	2
213	и вот	10	2
214	и что	17	2
215	свое учение	2	2
216	но это	12	2
217	что с	2	2
218	это только	3	2
219	все эти	4	2
220	совершенно не	13	2
221	бы ни	3	2
222	а с	2	2
223	и тогда	4	2
224	является не	3	2
225	не просто	19	2
226	в этих	6	2
227	только на	3	2
228	раз навсегда	2	2
229	в частности	4	2
230	в таком	4	2
231	и есть	20	2
232	но совершенно	2	2
233	так что	21	2
234	во время	2	2
235	как будто	7	2
236	друг другу	4	2
237	должна быть	5	2
238	отношения к	3	2
239	в области	2	2
240	если же	2	2
241	это есть	13	2
242	с ним	9	2
243	быть и	7	2
244	у него	2	2
245	не должен	2	2
246	мы уже	8	2
247	будет ли	2	2
248	и более	7	2
249	и состоит	2	2
250	ясно что	11	2
