N	4gram	Voloshinov	Formalny
1	в то же время	7	20
2	и не может быть	5	7
3	бы то ни было	11	7
4	и пр и пр	5	7
5	одни и те же	5	5
6	в связи с этим	3	5
7	не может быть и	4	4
8	все более и более	2	4
9	нет и не может	2	4
10	какого бы то ни	2	3
11	может быть и речи	4	3
12	но в то же	6	3
13	в том числе и	3	3
14	один и тот же	3	3
15	на самом же деле	5	3
16	с точки зрения самого	2	3
17	в неразрывной связи с	3	2
18	какой бы то ни	3	2
19	в самом деле ведь	2	2
20	и до настоящего времени	3	2
21	одним и тем же	2	2
22	если мы отвлечемся от	2	2
