N	3gram	Bakhtin_Fr	formyVre
1	то же время	5	21
2	в то же	5	18
3	еды и питья	3	18
4	как мы уже	8	15
5	с точки зрения	6	15
6	друг с другом	2	13
7	кн ii гл	2	12
8	для того чтобы	2	12
9	но и в	5	12
10	не только в	5	11
11	до сих пор	7	10
12	и в то	2	10
13	мы уже говорили	12	9
14	и прежде всего	4	8
15	к себе самому	2	8
16	в том числе	10	8
17	в большинстве случаев	2	8
18	в этом отношении	5	7
19	в романе рабле	4	7
20	в отличие от	4	7
21	не может быть	5	7
22	с одной стороны	2	6
23	во всех этих	2	6
24	мы уже сказали	4	6
25	имеем в виду	2	6
26	в том что	6	5
27	на протяжении всего	5	5
28	том числе и	7	5
29	то есть в	5	5
30	той или иной	5	5
31	вполне понятно что	2	4
32	включает в себя	3	4
33	в средние века	12	4
34	и в других	2	4
35	и во всех	2	4
36	времени то есть	2	4
37	прежде всего необходимо	2	4
38	но все же	3	4
39	во всяком случае	2	4
40	по отношению к	2	4
41	в его целом	2	4
42	и в литературе	2	3
43	и в частности	2	3
44	до известной степени	2	3
45	в нем в	2	3
46	в другом месте	2	3
47	существенную роль в	3	3
48	о том что	3	3
49	так и в	3	3
50	как раз и	2	3
51	но в то	2	3
52	сих пор еще	4	3
53	как бы ни	2	3
54	в эпоху возрождения	4	3
55	средние века и	2	3
56	по сравнению с	2	3
57	в той или	5	3
58	все же в	2	3
59	средневековья и возрождения	2	2
60	отношение к времени	5	2
61	в узком смысле	2	2
62	все разобранные нами	2	2
63	выход за пределы	2	2
64	у рабле в	3	2
65	в значительной мере	3	2
66	вовсе не является	3	2
67	самой жизни в	2	2
68	начало и конец	2	2
69	всего того что	2	2
70	то есть именно	2	2
71	можно сказать что	3	2
72	в xvii веке	6	2
73	в основе своей	2	2
74	и др в	2	2
75	дело в том	2	2
76	зрения на мир	3	2
77	жизни и смерти	6	2
78	у стерна и	3	2
79	почти вовсе не	3	2
