N	2gram	Vygotskiy_	Problema
1	и в	55	182
2	то есть	16	165
3	и не	19	152
4	вовсе не	8	145
5	то что	69	144
6	не есть	4	113
7	не только	24	104
8	потому что	48	89
9	в этом	30	88
10	может быть	34	82
11	том что	46	81
12	в том	50	81
13	не просто	6	80
14	только в	12	73
15	сказать что	14	72
16	но и	16	70
17	в виде	3	69
18	у нас	7	68
19	и даже	4	66
20	по себе	13	64
21	даже и	2	63
22	о том	24	57
23	так и	6	56
24	а не	16	56
25	но в	7	55
26	так что	8	52
27	ни в	5	51
28	для нас	9	50
29	и вообще	2	48
30	в себе	13	48
31	при помощи	5	47
32	смысле слова	2	47
33	было бы	15	46
34	в своей	8	45
35	прежде всего	6	45
36	что в	43	44
37	в его	8	44
38	все эти	5	43
39	не в	12	43
40	таким образом	35	42
41	как раз	19	42
42	то же	16	42
43	если мы	24	42
44	так как	20	40
45	что мы	12	40
46	и то	12	40
47	что он	30	40
48	и что	45	40
49	не может	15	39
50	в этой	15	39
51	и тем	6	39
52	во всяком	2	39
53	как бы	33	39
54	той или	2	38
55	в данном	4	38
56	никак не	10	37
57	хотя бы	5	37
58	того что	12	37
59	в нем	13	37
60	еще не	6	36
61	есть нечто	3	36
62	точки зрения	15	36
63	и все	15	36
64	и т	12	35
65	когда мы	10	35
66	в виду	5	34
67	и с	3	34
68	указывает на	8	34
69	как и	9	34
70	не является	3	33
71	или иной	2	33
72	в таком	4	33
73	т д	6	33
74	же самое	13	33
75	в то	6	32
76	едва ли	3	32
77	но не	9	32
78	в своем	12	31
79	в конце	10	31
80	связи с	2	31
81	все это	8	31
82	что такое	2	31
83	так же	19	31
84	но это	2	31
85	ясно что	10	30
86	с другой	12	30
87	и для	13	30
88	как мы	6	29
89	перед нами	5	29
90	все же	11	29
91	об этом	5	29
92	можно сказать	4	29
93	данном случае	4	28
94	и о	5	28
95	есть только	3	28
96	мы не	8	28
97	а в	7	28
98	и как	10	27
99	ничего не	4	27
100	и это	13	27
101	в результате	6	26
102	как будто	7	26
103	вместе с	16	26
104	это не	9	26
105	да и	4	26
106	другой стороны	8	26
107	и его	10	26
108	с точки	5	25
109	и на	12	25
110	мы можем	8	25
111	на самом	9	24
112	не имеет	2	24
113	с тем	10	24
114	в нашем	3	24
115	мы находим	2	23
116	на то	27	23
117	есть не	7	23
118	при этом	11	23
119	конце концов	6	23
120	в качестве	2	23
121	никогда не	15	22
122	и если	13	22
123	и является	2	22
124	сам по	4	22
125	его в	2	22
