N	2gram	Losev_Vlad	Myslijsy
1	потому что	16	182
2	то есть	5	142
3	и в	56	121
4	может быть	12	107
5	в том	26	103
6	то что	30	83
7	для нас	9	75
8	что в	24	73
9	и не	33	73
10	только в	11	72
11	не только	35	67
12	а не	5	67
13	таким образом	6	64
14	том что	22	59
15	так как	11	59
16	в этом	30	59
17	но и	26	59
18	то же	10	56
19	не в	12	54
20	если бы	2	53
21	в себе	5	53
22	не может	12	52
23	по себе	3	52
24	того что	6	47
25	в нем	7	45
26	было бы	7	45
27	не есть	4	42
28	как и	7	42
29	так что	13	39
30	вместе с	9	39
31	мы не	2	38
32	что и	6	38
33	так и	11	37
34	при этом	5	37
35	как в	6	37
36	что мы	2	36
37	точно так	2	35
38	тем что	2	33
39	и что	11	32
40	а в	20	30
41	но не	5	29
42	что не	3	29
43	вовсе не	8	28
44	для него	16	28
45	с этим	3	27
46	и т	3	26
47	то и	3	26
48	не было	12	26
49	в то	15	24
50	с тем	4	23
51	от того	2	23
52	того как	2	23
53	как бы	5	23
54	но в	19	22
55	не имеет	2	22
56	с другой	3	22
57	то это	4	22
58	и потому	8	21
59	не менее	9	21
60	в ней	5	20
61	в одном	2	20
62	это не	3	20
63	тем самым	2	19
64	мысли и	5	19
65	и как	7	19
66	с ним	10	19
67	и то	13	19
68	сказать что	14	19
69	что это	2	19
70	из этих	5	19
71	но это	6	19
72	тем не	8	19
73	о том	13	19
74	того же	11	19
75	в каком	3	18
76	для меня	8	18
77	для того	4	18
78	еще не	2	18
79	не могут	2	18
80	там же	24	18
81	по поводу	15	18
82	в самом	3	18
83	что я	5	18
84	в таком	2	18
85	заметить что	2	17
86	в его	18	17
87	со стороны	5	17
88	точки зрения	4	17
89	во всяком	8	17
90	уже в	9	17
91	в своем	10	16
92	к тому	5	16
93	в которой	8	16
94	только что	2	16
95	так же	4	16
96	есть нечто	2	16
97	в них	5	16
98	что если	3	16
99	же с	22	16
100	на то	7	16
101	и на	7	16
102	и по	10	15
103	в нас	4	15
104	т д	3	15
105	в этих	5	15
106	и тем	2	15
107	что он	22	15
108	прежде всего	5	15
109	в свою	3	15
110	уже не	6	15
111	мы должны	3	14
112	свою очередь	2	14
113	и без	2	14
114	связи с	7	14
115	в истории	4	14
116	то в	6	14
117	так сказать	2	14
118	в котором	10	14
119	все же	11	14
120	когда мы	2	14
121	во всех	4	14
122	же время	7	14
123	что все	2	13
124	и все	8	13
125	те же	2	13
126	образом в	2	13
127	из них	3	13
128	и его	12	13
129	есть для	2	13
130	как на	2	13
131	никогда не	15	12
132	от него	3	12
133	друг друга	3	12
134	и при	2	12
135	что же	11	12
136	что на	2	12
137	не то	3	12
138	все это	7	12
139	под влиянием	6	12
140	как мы	17	12
141	тем более	4	12
142	что такое	3	12
143	или менее	5	12
144	в чем	4	12
145	хотя и	9	12
146	себе представить	2	12
147	другой стороны	3	12
148	более или	5	12
149	всяком случае	8	12
150	и притом	5	11
151	той же	6	11
152	того чтобы	4	11
153	и вообще	12	11
154	только на	3	11
155	что для	5	11
156	все что	2	11
157	и если	8	11
158	его в	3	11
159	указывает на	2	11
160	сравнительно с	3	11
161	если не	4	11
162	к нему	6	11
163	же в	3	11
164	к ней	7	11
165	и это	4	11
166	между прочим	18	10
167	и для	4	10
168	хотя бы	5	10
169	тех пор	2	10
170	и от	6	10
171	и мы	6	10
172	он не	13	10
173	и с	27	10
174	то время	6	10
175	и есть	2	10
176	и других	2	9
177	нам кажется	2	9
178	поэзии и	2	9
179	во многих	2	9
180	это было	9	9
181	и даже	23	9
182	на него	3	9
183	в сравнении	2	9
184	известно что	2	9
185	себе не	2	9
186	и о	6	9
187	от нее	3	9
188	один из	4	9
189	в целом	3	9
190	во время	4	9
191	можно сказать	10	9
192	что она	2	9
193	до тех	2	9
194	с в	6	9
195	то мы	3	8
196	на вопрос	2	8
197	что даже	2	8
198	так например	3	8
199	в более	3	8
200	тот же	7	8
201	что они	4	8
202	с и	4	8
203	но все	3	8
204	их в	3	8
205	именно в	4	8
206	только не	2	8
207	во всем	4	8
208	говоря о	2	8
209	между ними	2	8
210	на все	3	8
211	с ними	2	8
212	по его	3	8
213	судя по	2	8
214	не из	2	8
215	но мы	3	7
216	для себя	6	7
217	столько же	2	7
218	том же	4	7
219	на основании	3	7
220	от нас	2	7
221	она не	3	7
222	и во	3	7
223	место в	2	7
224	все эти	6	7
225	за пределы	3	7
226	и тот	2	7
227	с этой	4	7
228	что у	4	7
229	в своих	7	7
230	но что	5	7
231	и теперь	4	7
232	них не	2	7
