N	2gram	Tiupa_Teor	Otkroven
1	у него	2	22
2	и в	24	19
3	но и	14	13
4	и не	17	13
5	в этом	12	12
6	не только	24	11
7	не в	9	11
8	а не	14	11
9	может быть	22	11
10	человека и	2	10
11	в нем	7	10
12	никогда не	4	9
13	в самой	2	9
14	потому что	3	9
15	прежде всего	3	9
16	лишь в	10	7
17	в его	12	7
18	он не	5	7
19	но он	4	7
20	как и	6	6
21	все это	2	6
22	для него	5	5
23	а в	15	5
24	в том	20	5
25	о его	2	5
26	в самом	7	5
27	то что	6	5
28	в этой	3	5
29	отношение к	7	5
30	и его	11	4
31	что в	10	4
32	только и	2	4
33	того чтобы	5	4
34	все эти	3	4
35	человеческих отношений	2	4
36	не может	8	4
37	с его	6	4
38	в себе	14	3
39	о том	2	3
40	это не	4	3
41	к нему	2	3
42	не могут	2	3
43	что он	4	3
44	и вот	3	3
45	для того	5	3
46	еще не	6	3
47	в этих	4	3
48	в русской	6	3
49	и ее	4	3
50	никто не	3	3
51	как бы	8	3
52	могут быть	5	3
53	это было	2	3
54	того что	5	3
55	как к	5	2
56	и то	3	2
57	сказать что	4	2
58	и на	2	2
59	и для	3	2
60	человека к	3	2
61	не могли	2	2
62	что и	2	2
63	ее в	2	2
64	и потому	3	2
65	в ее	6	2
66	в своем	7	2
67	но в	12	2
68	том что	11	2
69	жизни в	2	2
70	в своей	8	2
71	с чем	2	2
72	по себе	2	2
73	что они	2	2
74	своей жизни	2	2
75	не все	3	2
76	и о	5	2
77	в душе	9	2
78	и к	3	2
79	так и	14	2
80	этом мире	2	2
81	в которой	3	2
82	личности и	4	2
83	хотя и	4	2
84	в другом	4	2
85	при чтении	2	2
86	его в	4	2
