N	2gram	Medvedev_U	formyVre
1	и в	14	148
2	в этом	7	73
3	прежде всего	8	46
4	и не	8	37
5	в его	2	36
6	но и	4	33
7	то же	5	32
8	не только	10	32
9	но в	3	31
10	может быть	6	27
11	не в	2	26
12	как и	3	25
13	в то	3	23
14	только в	2	23
15	то что	7	22
16	в том	2	22
17	же время	3	21
18	и для	2	19
19	по существу	2	18
20	таким образом	2	18
21	все же	3	16
22	не может	7	16
23	с его	2	15
24	все это	5	14
25	всех этих	2	14
26	в конце	2	14
27	и с	2	14
28	как раз	2	14
29	а не	10	14
30	в их	4	13
31	в частности	3	13
32	в самом	2	13
33	ничего не	2	12
34	конечно не	4	12
35	но не	2	12
36	и у	2	11
37	сих пор	2	10
38	до сих	2	10
39	могут быть	2	9
40	том что	2	9
41	с другой	4	9
42	для него	3	9
43	это не	3	8
44	что и	2	8
45	и то	3	8
46	если бы	2	8
47	в некоторых	2	8
48	для всех	2	7
49	в себе	2	7
50	не как	3	7
51	было бы	3	7
52	этом отношении	2	7
53	в широком	2	6
54	все они	2	6
55	не могут	2	6
56	а как	2	6
57	мы не	2	6
58	на первый	2	6
59	о чем	2	5
60	и через	2	5
61	что все	2	5
62	в этой	4	5
63	хотя бы	5	5
64	в своей	3	5
65	тем что	2	5
66	и является	2	5
67	и только	5	5
68	мы и	2	5
69	по себе	2	4
70	и т.д	3	4
71	что он	2	4
72	именно как	2	4
73	другой стороны	3	4
74	формы и	2	4
75	у нас	3	4
76	их и	2	4
77	же самое	2	4
78	надо было	2	3
79	но конечно	2	3
80	это уже	2	3
81	но это	2	3
82	не столько	2	3
83	вот почему	7	3
84	литературы и	2	3
85	бы и	2	3
86	только к	3	3
87	это было	2	3
88	его и	2	3
89	нас в	2	3
90	если не	2	3
91	что мы	2	3
92	не о	3	2
93	самом деле	2	2
94	в искусстве	6	2
95	в буквальном	2	2
96	перестает быть	5	2
97	сколько угодно	2	2
98	должна быть	2	2
99	как таковой	2	2
