N	2gram	Bakhtin_Pr	Formalny
1	и в	38	95
2	и не	42	78
3	может быть	26	66
4	в этом	15	61
5	не может	27	57
6	и пр	2	53
7	вовсе не	2	53
8	таким образом	10	52
9	и его	16	51
10	так и	5	50
11	точки зрения	8	47
12	в нем	15	42
13	в его	43	42
14	прежде всего	13	41
15	с точки	6	40
16	как и	7	39
17	и т	14	37
18	художественного произведения	11	36
19	не в	7	35
20	в самом	7	35
21	а не	5	34
22	но и	9	33
23	то же	5	32
24	самом деле	6	32
25	не только	9	30
26	в пределах	6	28
27	в том	8	26
28	отнюдь не	19	26
29	если бы	3	26
30	то что	8	25
31	на самом	4	24
32	при этом	5	24
33	в своей	7	24
34	лишь в	2	24
35	на почве	3	24
36	в ней	4	23
37	связи с	2	23
38	было бы	8	23
39	с помощью	7	23
40	в то	4	22
41	и ее	2	22
42	в истории	2	21
43	как бы	22	21
44	что в	7	21
45	и с	17	21
46	в их	10	20
47	не менее	4	20
48	между ними	4	20
49	и от	3	20
50	формальный метод	3	20
51	входит в	8	20
52	как мы	7	20
53	же время	3	20
54	место в	8	20
55	не могут	2	19
56	все это	3	19
57	хотя бы	4	19
58	художественное произведение	8	19
59	т п	13	18
60	все же	6	18
61	и все	3	18
62	все эти	5	18
63	в связи	2	18
64	должна быть	4	18
65	с его	2	18
66	только в	13	18
67	более того	4	17
68	произведения в	5	17
69	как в	4	17
70	в искусстве	12	16
71	совершенно не	7	16
72	с другой	7	16
73	его в	9	15
74	но в	4	15
75	в поэзии	9	15
76	с другими	3	15
77	должно быть	5	15
78	во всех	11	15
79	и на	3	15
80	что он	2	14
81	в целом	3	14
82	в ее	4	14
83	в своем	5	14
84	еще не	7	14
85	и потому	4	14
86	произведения и	2	14
87	в единстве	12	14
88	того что	2	13
89	языка как	2	13
90	а в	6	13
91	могут быть	5	13
92	что и	2	13
93	независимо от	13	13
94	она не	2	13
95	тем что	2	13
96	ни в	11	13
97	как таковой	2	13
98	как его	3	13
99	по отношению	21	12
100	как это	2	12
101	того чтобы	2	12
102	лишь как	4	12
103	там где	6	12
104	и здесь	2	12
105	отношению к	19	12
106	и для	11	12
107	оно не	3	12
108	поэтического произведения	3	12
109	никогда не	5	11
110	этом отношении	2	11
111	произведение как	4	11
112	в корне	2	11
113	они не	3	11
114	в основе	5	11
115	в большинстве	5	11
116	но не	12	11
117	то ни	3	11
118	слова и	3	11
119	произведения как	8	11
120	лишь для	2	11
121	между тем	7	11
122	не есть	6	10
123	действительности и	3	10
124	его целом	5	10
125	и др	8	10
126	в художественном	20	10
127	формы и	5	10
128	дело идет	2	10
129	не было	2	10
130	в дальнейшем	3	10
131	по существу	2	10
132	бы то	3	10
133	другой стороны	4	10
134	не является	3	10
135	материала и	2	10
136	и как	8	10
137	в своих	2	10
138	большинстве случаев	5	10
139	материала в	10	10
140	раз и	2	10
141	конечно не	5	10
142	он не	3	10
143	на фоне	3	10
144	в слове	3	10
145	ничего не	6	9
146	для понимания	2	9
147	здесь не	4	9
148	но это	3	9
149	или иного	2	9
150	в каждом	2	9
151	менее всего	3	9
152	и даже	3	9
153	у нас	2	9
154	от всех	4	9
155	в свою	2	9
156	ни было	3	9
157	языка в	3	9
158	говорить о	3	9
159	отношения к	6	9
160	это не	5	8
161	в других	4	8
162	была бы	2	8
163	одной стороны	3	8
164	и те	2	8
165	в них	5	8
166	с одной	3	8
167	в области	11	8
168	что это	2	8
169	не должна	4	8
170	в данном	4	8
171	задачи и	2	8
172	следует что	2	8
173	как такового	3	8
174	и должно	3	8
175	должен быть	2	8
176	и к	3	8
177	для того	2	8
178	не следует	2	8
179	на основе	6	8
180	ясно что	3	8
181	том что	3	7
182	в себе	4	7
183	как к	2	7
184	произведение в	6	7
185	не входит	10	7
186	не на	5	7
187	войти в	2	7
188	известной степени	4	7
189	форм и	2	7
190	художественном произведении	5	7
191	сказать что	4	7
192	к этому	2	7
193	того или	2	7
194	применении к	3	7
195	творчества и	5	7
196	в особенности	2	7
197	можно говорить	2	7
198	и наконец	6	7
199	и только	4	7
200	в применении	3	7
201	в какой	2	7
202	и более	2	7
203	столь же	2	7
204	искусства в	2	7
205	мы увидим	3	7
206	высшей степени	5	7
207	в высшей	5	7
208	данном случае	4	6
209	тем самым	4	6
210	материал и	2	6
211	отношение к	10	6
212	в россии	2	6
213	на этом	2	6
214	и тем	3	6
215	и других	2	6
216	в частности	2	6
