N	2gram	Voloshinov	Tragedij
1	и в	42	18
2	в этом	10	9
3	не только	28	8
4	и не	14	7
5	и на	7	7
6	как бы	30	7
7	и с	5	7
8	может быть	13	7
9	же время	7	6
10	что он	2	6
11	но в	5	6
12	и его	7	6
13	несмотря на	3	5
14	что это	4	5
15	все же	9	5
16	это не	3	5
17	то же	16	5
18	как и	12	5
19	в дальнейшем	2	5
20	так и	7	5
21	не может	13	5
22	в то	9	5
23	еще не	3	4
24	в целом	4	4
25	но и	16	4
26	прежде всего	22	4
27	об этом	3	4
28	том что	3	4
29	в этой	6	4
30	так же	4	4
31	и все	4	4
32	все это	4	4
33	в нем	6	4
34	то что	9	4
35	но это	2	4
36	и даже	3	4
37	в себе	10	4
38	один из	4	3
39	и как	10	3
40	в мире	2	3
41	уже в	5	3
42	тем самым	8	3
43	к нему	2	3
44	при этом	9	3
45	в его	6	3
46	иван петрович	3	3
47	все эти	3	3
48	и он	2	3
49	отнюдь не	10	3
50	о чем	2	3
51	и сам	2	3
52	должно быть	2	3
53	как в	3	3
54	как это	5	3
55	для него	3	3
56	то есть	5	3
57	в конце	6	3
58	с ним	2	3
59	никогда не	7	2
60	в самом	5	2
61	и то	5	2
62	но все	5	2
63	до конца	2	2
64	с тем	8	2
65	друг друга	2	2
66	тем что	2	2
67	перед нами	3	2
68	в душе	2	2
69	вопрос о	2	2
70	в одном	4	2
71	его в	4	2
72	ничего не	8	2
73	в ее	3	2
74	но эта	2	2
75	ведь еще	2	2
76	вряд ли	3	2
77	к тому	4	2
78	о том	4	2
79	что и	3	2
80	не в	6	2
81	и здесь	3	2
82	потому что	7	2
83	было в	4	2
84	не просто	4	2
85	в частности	3	2
86	он не	2	2
87	ничем не	2	2
88	бы и	2	2
89	уже не	4	2
90	что эти	3	2
91	и это	8	2
92	если б	6	2
93	не так	3	2
94	в том	3	2
95	даже на	2	2
96	но при	3	2
97	не мог	3	2
98	с его	8	2
99	отношение к	2	2
