N	3gram	Bakhtin_Fr	Komedia
1	в том что	8	29
2	к тому же	3	21
3	до сих пор	3	16
4	то же время	14	16
5	в то же	14	16
6	о том что	5	13
7	в самом деле	2	13
8	для того чтобы	8	11
9	в то время	3	11
10	с одной стороны	2	9
11	вместе с тем	2	9
12	с другой стороны	2	8
13	с самого начала	3	7
14	в связи с	5	6
15	с точки зрения	5	6
16	в том числе	6	6
17	в отличие от	3	6
18	то же самое	3	5
19	в этом отношении	7	5
20	о том как	2	5
21	что и в	2	4
22	можно было бы	2	4
23	и тот же	2	4
24	в самом начале	2	4
25	более или менее	2	3
26	в чем же	3	3
27	таким образом в	3	3
28	но и в	3	3
29	друг с другом	2	3
30	том числе и	3	3
31	только для того	2	2
32	в большинстве случаев	5	2
33	как мы видели	4	2
34	подобно тому как	2	2
35	в первом случае	3	2
36	на первый план	3	2
37	в нем не	4	2
38	в одной из	2	2
39	так же как	4	2
40	и в то	3	2
41	таким образом и	2	2
42	в этой же	2	2
