N	2gram	Losev_Vesc	Otkroven
1	у него	3	22
2	и в	44	19
3	но и	19	13
4	и не	57	13
5	в этом	17	12
6	не только	48	11
7	не в	14	11
8	а не	34	11
9	может быть	37	11
10	и все	6	10
11	человека и	3	10
12	в нем	6	10
13	вопрос о	6	10
14	никогда не	5	9
15	в самой	3	9
16	потому что	25	9
17	не было	4	9
18	прежде всего	17	9
19	ни с	8	7
20	в его	5	7
21	нет ничего	2	7
22	он не	4	7
23	но он	2	7
24	как и	15	6
25	все это	7	6
26	для него	8	5
27	а в	6	5
28	в россии	2	5
29	в том	15	5
30	в самом	13	5
31	то что	47	5
32	в этой	4	5
33	отношение к	4	5
34	и его	4	4
35	что в	11	4
36	он сам	2	4
37	только и	8	4
38	есть лишь	2	4
39	всегда есть	5	4
40	того чтобы	4	4
41	все эти	5	4
42	т е	79	4
43	не может	44	4
44	что не	11	4
45	с его	2	4
46	в себе	23	3
47	и от	4	3
48	о том	11	3
49	это не	9	3
50	к нему	3	3
51	что он	7	3
52	и вот	4	3
53	было бы	24	3
54	различие между	3	3
55	для того	3	3
56	во имя	3	3
57	еще не	12	3
58	и есть	40	3
59	все что	3	3
60	в своих	3	3
61	когда он	2	3
62	и ее	19	3
63	только одно	2	3
64	как бы	19	3
65	хотя бы	9	3
66	нем нет	2	3
67	это было	2	3
68	с ним	8	3
69	быть может	3	3
70	мысли и	5	3
71	того что	16	3
72	как к	5	2
73	ли сказать	3	2
74	одно из	2	2
75	и то	14	2
76	сказать что	21	2
77	можно ли	7	2
78	и на	2	2
79	с тем	8	2
80	уже в	2	2
81	что же	17	2
82	и для	13	2
83	совсем не	2	2
84	что все	2	2
85	не имеет	2	2
86	ничего не	12	2
87	и с	11	2
88	что и	11	2
89	рационализма и	7	2
90	и потому	8	2
91	и ни	3	2
92	в ее	8	2
93	в своем	9	2
94	тем что	7	2
95	но в	8	2
96	том что	13	2
97	что для	5	2
98	все же	18	2
99	о которой	3	2
100	жизни в	3	2
101	в своей	6	2
102	так как	17	2
103	с чем	7	2
104	по себе	22	2
105	что у	5	2
106	же это	5	2
107	что они	12	2
108	в истории	3	2
109	всякий кто	2	2
110	так что	9	2
111	даже и	5	2
112	не все	3	2
113	для всякого	6	2
114	должно быть	8	2
115	и о	4	2
116	не есть	79	2
117	с которой	3	2
118	и нет	3	2
119	к этому	2	2
120	все еще	3	2
121	так и	4	2
122	в которой	5	2
123	к ней	4	2
124	хотя и	5	2
125	момент в	6	2
126	учение о	2	2
127	самое главное	2	2
128	в другом	3	2
129	что есть	8	2
130	ничто не	2	2
131	его в	8	2
