N	3gram	Vygotskiy_	Stilisti
1	для того чтобы	14	7
2	в зависимости от	6	7
3	и то же	6	5
4	с точки зрения	11	5
5	одно и то	6	5
6	мы никогда не	3	5
7	того или иного	2	5
8	заключает в себе	3	4
9	с самого начала	6	4
10	то же самое	9	4
11	одной и той	5	4
12	той или иной	2	4
13	и той же	5	4
14	то что мы	2	4
15	в свою очередь	3	4
16	в этом случае	4	3
17	как мы уже	3	3
18	и тем самым	3	3
19	как мы видели	4	3
20	внутренней речи и	2	2
21	вместе с тем	11	2
22	возникновения и развития	2	2
23	в связи с	8	2
24	мы не знаем	2	2
25	что иное как	2	2
26	то же слово	3	2
27	только потому что	2	2
28	и как бы	2	2
29	и тем же	4	2
30	в самом деле	4	2
31	в этом отношении	9	2
32	что перед нами	3	2
33	и те же	3	2
34	и том же	2	2
35	одни и те	3	2
36	как мы увидим	2	2
37	с тем и	4	2
38	одном и том	2	2
39	по отношению к	3	2
40	мы видели что	4	2
41	смысле этого слова	10	2
42	о том что	3	2
43	мы видим что	2	2
44	связи с этим	2	2
45	не что иное	2	2
46	не может быть	5	2
