N	3gram	Medvedev_V	Analitik
1	в том что	5	25
2	не может быть	8	19
3	по отношению к	7	18
4	в то же	5	16
5	о том что	3	15
6	то же время	5	14
7	в конечном счете	5	11
8	подобно тому как	3	9
9	с одной стороны	2	9
10	с другой стороны	8	9
11	по крайней мере	2	9
12	в том чтобы	2	9
13	в этом отношении	14	8
14	не только в	2	8
15	во всяком случае	2	7
16	а всего лишь	3	5
17	не только не	2	5
18	большей или меньшей	3	4
19	для того чтобы	3	4
20	не в том	2	4
21	не удивительно что	3	4
22	и не может	2	4
23	и т п	9	3
24	в противном случае	2	3
25	хотя бы и	5	3
26	не могут быть	4	3
27	в результате чего	2	3
28	в том числе	2	3
29	в связи с	4	3
30	можно сказать что	4	3
31	в зависимости от	5	3
32	более или менее	6	2
33	в каждом отдельном	2	2
34	можно было бы	2	2
35	к тому что	4	2
36	в частности в	2	2
37	этой точки зрения	2	2
38	следует понимать как	2	2
39	до сих пор	2	2
