N	2gram	Bakhtin_Pr	DiskursI
1	а не	5	60
2	может быть	26	56
3	не только	9	49
4	и в	38	49
5	как и	7	47
6	при этом	5	46
7	в том	8	44
8	и не	42	44
9	то есть	46	41
10	том что	3	40
11	в этом	15	38
12	в себе	4	37
13	в частности	2	36
14	но и	9	35
15	но не	12	31
16	так и	5	28
17	отличие от	5	28
18	но в	4	28
19	не может	27	27
20	в отличие	5	27
21	как в	4	25
22	еще не	7	23
23	отнюдь не	19	23
24	все же	6	19
25	прежде всего	13	19
26	в нем	15	19
27	в своей	7	19
28	в основе	5	18
29	далеко не	5	18
30	по отношению	21	17
31	в данном	4	17
32	то же	5	17
33	с другой	7	17
34	отношению к	19	17
35	в мире	3	17
36	точки зрения	8	16
37	только в	13	16
38	в его	43	15
39	то что	8	15
40	о том	4	15
41	это не	5	14
42	или иной	2	14
43	не в	7	14
44	не менее	4	14
45	одной стороны	3	14
46	можно сказать	2	14
47	не является	3	14
48	ни к	2	14
49	с одной	3	14
50	в целом	3	13
51	как бы	22	13
52	данном случае	4	12
53	в своем	5	12
54	и все	3	12
55	в своих	2	12
56	и на	3	12
57	что в	7	11
58	с его	2	11
59	и как	8	11
60	столь же	2	11
61	не было	2	11
62	в лирике	2	10
63	а в	6	10
64	той или	2	10
65	вследствие этого	3	10
66	также и	3	10
67	же время	3	10
68	тем самым	4	9
69	в то	4	9
70	между тем	7	9
71	в них	5	9
72	себя в	2	9
73	человека в	2	8
74	этом отношении	2	8
75	и о	5	8
76	не на	5	8
77	хотя и	3	8
78	и даже	3	8
79	в этих	2	8
80	не с	4	8
81	в себя	2	8
82	в котором	2	8
83	совпадает с	2	8
84	он не	3	8
85	не следует	2	8
86	его в	9	7
87	могут быть	5	7
88	и ее	2	7
89	приводит к	3	7
90	одной из	3	7
91	и для	11	7
92	но это	3	7
93	что и	2	7
94	например в	3	7
95	другой стороны	4	7
96	к этому	2	7
97	лишь в	2	7
98	в пределах	6	7
99	ни в	11	7
100	и его	16	7
101	таким образом	10	7
102	основе своей	3	7
103	никогда не	5	6
104	к его	2	6
105	отношение к	10	6
106	что он	2	6
107	не знает	3	6
108	здесь не	4	6
109	в истории	2	6
110	в ее	4	6
111	имеет место	5	6
112	одна из	2	6
113	в строгом	2	6
114	дело в	2	6
115	во всех	11	6
116	конечном счете	4	6
117	в особенности	2	6
118	сказать и	3	6
119	в конечном	4	6
120	с точки	6	6
121	ничего не	6	5
122	к себе	2	5
123	в другом	2	5
124	в виду	4	5
125	в их	10	5
126	не всегда	6	5
127	и потому	4	5
128	того что	2	5
129	несмотря на	3	5
130	здесь в	2	5
131	сказать что	4	5
132	но она	2	5
133	за пределы	12	5
134	в значительной	2	5
135	эстетической деятельности	2	5
136	себе не	2	5
137	но они	4	5
138	известной степени	4	5
139	в свою	2	5
140	можно говорить	2	5
141	оно не	3	5
142	на этом	2	5
143	не вполне	2	5
144	говорить о	3	5
145	же самое	2	5
146	не к	6	5
147	в ней	4	5
148	тем что	2	5
149	не могут	2	4
150	слова не	3	4
151	и прежде	5	4
152	и тем	3	4
153	может и	4	4
154	и др	8	4
155	того или	2	4
156	может иметь	5	4
157	объекта и	7	4
158	в произведении	4	4
159	как это	2	4
160	и это	3	4
161	более того	4	4
162	ни одна	2	4
163	произведение в	6	4
164	что не	4	4
165	и во	2	4
166	должны быть	4	4
167	принципиально не	4	4
168	или иного	2	4
169	мы имеем	2	4
170	а к	2	4
171	в равной	2	4
172	отличается от	2	4
173	тем не	3	4
174	я не	2	4
175	связи с	2	4
176	в культуре	2	4
177	в какой	2	4
178	в самом	7	4
179	не есть	6	4
180	и к	3	4
181	не более	2	4
182	точка зрения	3	4
183	или в	2	4
184	и есть	2	4
185	с ним	5	4
186	в тех	3	3
187	в форме	4	3
188	в иных	3	3
189	к которому	4	3
190	в области	11	3
191	но как	2	3
192	о котором	2	3
193	значение для	3	3
194	бытия в	3	3
195	она не	2	3
196	в едином	2	3
197	они не	3	3
198	в романе	4	3
199	событие не	2	3
200	но здесь	3	3
201	и он	2	3
202	все эти	5	3
203	было бы	8	3
204	должна быть	4	3
205	как мы	7	3
206	к миру	3	3
207	да и	3	3
208	и от	3	3
209	произведения как	8	3
210	в начале	2	3
