N	3gram	Voloshinov	slovoVRo
1	не может быть	2	19
2	в то же	9	18
3	то же время	7	18
4	той или иной	4	15
5	с точки зрения	5	15
6	в этом случае	3	9
7	в зависимости от	7	8
8	но в то	2	7
9	в значительной степени	2	7
10	и в то	2	6
11	но все же	3	6
12	в этом отношении	2	5
13	не только в	3	5
14	как мы уже	3	5
15	по отношению к	2	5
16	для того чтобы	7	4
17	в точном смысле	2	4
18	можно сказать что	2	4
19	в свою очередь	4	4
20	одно и то	5	3
21	как мы видели	3	3
22	к тому что	2	3
23	и то же	5	3
24	в связи с	2	3
25	того или иного	5	3
26	тех или иных	3	3
27	мы не знаем	2	2
28	приходится иметь дело	2	2
29	тот или иной	2	2
30	то же слово	2	2
31	и кроме того	2	2
32	о том что	2	2
33	и не только	2	2
34	с самого начала	4	2
35	но и в	3	2
36	во всех своих	3	2
37	то или иное	4	2
