N	3gram	Medvedev_F	Dialekti
1	и т д	11	75
2	с точки зрения	17	46
3	сама по себе	2	26
4	в том что	3	25
5	не может быть	11	18
6	тем не менее	2	16
7	сам по себе	2	16
8	то же время	13	15
9	в то же	13	14
10	с другой стороны	4	12
11	в самом деле	5	10
12	т е в	2	10
13	и в этом	6	9
14	не только не	2	8
15	в этом смысле	3	8
16	сами по себе	4	7
17	и в частности	2	7
18	не в том	3	7
19	в связи с	9	7
20	и прежде всего	2	6
21	более или менее	7	6
22	для того чтобы	3	6
23	может быть и	4	6
24	во всяком случае	6	6
25	как и все	2	6
26	в зависимости от	4	6
27	с одной стороны	5	6
28	и в то	4	6
29	что в нем	2	5
30	на самом деле	7	5
31	в конце концов	2	5
32	ничего общего с	2	5
33	до сих пор	7	5
34	к тому что	3	5
35	в том смысле	3	5
36	как раз и	4	4
37	как бы ни	3	4
38	в данном случае	2	4
39	и т п	11	4
40	но даже и	2	4
41	по себе а	2	4
42	одной стороны и	4	4
43	в этом отношении	7	4
44	том смысле что	2	4
45	не могут быть	4	4
46	связи с этим	4	4
47	бы то ни	4	3
48	но в то	3	3
49	с самого начала	2	3
50	т е как	3	3
51	и не может	5	3
52	но все же	2	3
53	того или иного	6	3
54	мы не можем	3	2
55	бы она ни	3	2
56	в широком смысле	2	2
57	же время и	2	2
58	и не в	2	2
59	тем что оно	2	2
60	хотя бы в	4	2
61	как один из	2	2
62	и ни на	2	2
63	в лучшем случае	3	2
64	друг от друга	2	2
65	из всего этого	2	2
66	но все эти	2	2
67	в нем и	2	2
68	что и в	2	2
69	во что бы	3	2
70	что бы то	3	2
71	в свою очередь	6	2
72	и пр и	4	2
73	то ни стало	4	2
74	как это было	2	2
