N	2gram	Voloshinov	VerxiiNi
1	и в	28	26
2	таким образом	34	22
3	в этом	28	15
4	вместе с	5	15
5	точки зрения	31	13
6	как бы	19	12
7	в том	10	11
8	не только	10	10
9	из этих	6	10
10	и с	10	10
11	может быть	28	10
12	что в	7	9
13	так как	15	9
14	в области	4	9
15	но и	10	9
16	но не	7	8
17	с другой	2	8
18	в общем	5	8
19	главным образом	4	8
20	и у	7	8
21	и не	34	8
22	как на	3	8
23	но все	2	7
24	в эпоху	3	7
25	к нему	9	7
26	потому что	4	7
27	связанные с	4	7
28	одной стороны	2	7
29	из них	7	7
30	то что	17	7
31	с одной	2	7
32	но в	13	7
33	том что	12	7
34	а с	2	7
35	в отношении	2	6
36	все же	8	6
37	к тому	6	6
38	о том	3	6
39	мы должны	9	6
40	того же	3	6
41	в себе	7	6
42	в конце	2	6
43	всяком случае	8	6
44	что и	5	6
45	с точки	15	6
46	все эти	15	6
47	все это	12	6
48	и потому	12	6
49	так и	14	6
50	во всяком	9	6
51	никогда не	10	5
52	в мире	2	5
53	и для	7	5
54	не имеет	2	5
55	так же	4	5
56	и к	7	5
57	отношение к	7	5
58	того чтобы	5	5
59	в его	25	5
60	для того	6	5
61	а не	9	5
62	образом в	2	5
63	сих пор	3	5
64	до сих	3	5
65	на этот	3	4
66	и от	3	4
67	что все	7	4
68	далеко не	5	4
69	а в	8	4
70	с другими	8	4
71	в котором	4	4
72	в самом	12	4
73	в нем	7	4
74	не может	30	4
75	что оно	4	4
76	из которых	2	4
77	то же	12	4
78	и что	6	4
79	и по	5	4
80	в этих	5	4
81	только в	11	4
82	что он	12	4
83	и только	6	4
84	он не	10	4
85	ничем не	2	4
86	во время	6	4
87	в течение	2	4
88	в этой	7	4
89	в то	7	4
90	учение о	6	4
91	что это	5	3
92	в своем	4	3
93	с самого	7	3
94	уже не	9	3
95	хотя бы	7	3
96	к этому	9	3
97	в результате	3	3
98	в которой	5	3
99	тем не	4	3
100	представляет собой	2	3
101	и даже	3	3
102	и как	3	3
103	из которого	4	3
104	если бы	4	3
105	и те	5	3
106	же как	2	3
107	при этом	8	3
108	конце концов	2	3
109	не менее	6	3
110	по учению	2	3
111	когда он	3	3
112	в качестве	2	3
113	и при	3	3
114	и другие	2	3
115	подойти к	2	3
116	в таком	6	3
117	случае не	3	3
118	ясно что	2	3
119	и о	6	3
120	можно сказать	6	3
121	отношению к	11	3
122	и таким	3	3
123	в одном	3	3
124	того что	7	3
125	для него	12	3
126	по своему	4	2
127	не исчерпывается	2	2
128	мы видели	12	2
129	одно из	6	2
130	сказать что	11	2
131	но вместе	2	2
132	для этого	6	2
133	в эту	2	2
134	и является	3	2
135	из этого	2	2
136	или иной	2	2
137	не могут	7	2
138	того момента	2	2
139	а также	2	2
140	для всех	3	2
141	относится к	2	2
142	ли это	2	2
143	он в	2	2
144	мы имеем	6	2
145	ни один	3	2
146	ко всему	2	2
147	в процессе	5	2
148	мы можем	20	2
149	из этой	2	2
150	связь с	7	2
151	между тем	3	2
152	одним из	3	2
153	его можно	2	2
154	к его	3	2
155	в свою	6	2
156	когда человек	2	2
157	этого периода	6	2
158	не как	2	2
159	связанных с	4	2
160	именно в	4	2
161	конечно не	10	2
162	отличается от	2	2
163	приводит к	3	2
164	тогда когда	2	2
165	связанный с	2	2
166	но если	2	2
167	те же	9	2
168	что мы	3	2
169	в них	3	2
170	только не	3	2
171	очень много	2	2
172	и на	9	2
173	уже в	3	2
174	еще не	8	2
175	все что	10	2
176	то или	2	2
177	жизни и	7	2
178	не было	5	2
179	превращается в	2	2
180	самого начала	5	2
181	этом отношении	4	2
182	этот период	3	2
183	не в	10	2
184	из него	3	2
185	не всегда	4	2
186	только для	2	2
187	и наконец	12	2
188	то ни	4	2
189	ничего общего	4	2
190	ни было	2	2
191	жизни по	3	2
192	на все	3	2
193	и все	13	2
194	но когда	2	2
195	же время	6	2
196	один из	10	2
197	в виду	4	2
198	со всеми	5	2
199	психической жизни	12	2
200	связано с	3	2
201	совершенно иной	2	2
202	них не	3	2
203	не к	2	2
204	прежде всего	26	2
205	его не	2	2
206	бы то	3	2
207	или иное	2	2
208	тот же	10	2
209	связана с	2	2
210	с его	9	2
211	во всех	13	2
212	всех других	2	2
213	же самое	2	2
214	быть и	7	2
