N	3gram	Propp_Isto	Mirosoze
1	не может быть	4	28
2	в том что	8	9
3	это и есть	2	9
4	о том что	3	6
5	но и в	2	5
6	после того как	3	5
7	до сих пор	7	5
8	что и в	3	5
9	мы увидим что	2	5
10	по отношению к	2	4
11	на то что	4	4
12	не что иное	6	4
13	то время как	2	4
14	можно было бы	2	4
15	в то время	2	4
16	что иное как	6	4
17	во всяком случае	2	3
18	одной и той	2	3
19	как и в	2	3
20	же как и	3	3
21	и той же	2	3
22	так же как	7	3
23	есть не что	2	3
24	по сравнению с	2	3
25	в ином мире	4	2
26	т е в	2	2
27	смысле этого слова	3	2
28	подобно тому как	3	2
29	не только в	3	2
30	том что в	2	2
