N	3gram	Berdyaev_M	Myshleni
1	в том что	3	133
2	для того чтобы	4	78
3	по сравнению с	2	45
4	по отношению к	4	42
5	вместе с тем	5	26
6	о том что	3	25
7	не может быть	22	23
8	в то время	2	22
9	в высшей степени	4	22
10	то время как	2	20
11	до сих пор	5	17
12	одной и той	2	15
13	и той же	2	15
14	подобно тому как	2	14
15	потому что он	3	14
16	это значит что	3	13
17	от того что	4	10
18	друг к другу	6	9
19	как и в	2	9
20	с тем что	3	9
21	не могут быть	2	8
22	что и в	3	8
23	что он не	3	8
24	по своему значению	3	7
25	и вместе с	4	7
26	к тому чтобы	2	7
27	потому что в	4	6
28	не что иное	4	6
29	заключает в себе	3	6
30	что иное как	4	6
31	в том смысле	2	6
32	и не может	2	6
33	не может не	2	5
34	в конце концов	3	5
35	но он не	3	5
36	прежде всего в	2	5
37	есть прежде всего	4	5
38	не только в	2	5
39	есть не что	3	4
40	после того как	2	4
41	мы увидим что	4	4
42	не до конца	2	4
43	но и в	4	4
44	его отношение к	2	4
45	между тем как	2	4
46	и те же	2	4
47	в значительной степени	2	4
48	в себе и	2	4
49	и в конце	2	3
50	и в самом	3	3
51	должно привести к	4	3
52	одна и та	2	3
53	и та же	2	3
54	не мог бы	2	3
55	все равно что	2	3
56	оно не может	2	3
57	как и во	2	3
58	хотя бы и	2	3
59	на этом пути	4	2
60	в своей книге	2	2
61	потому что она	2	2
62	он не может	2	2
63	и никогда не	3	2
64	не способен к	4	2
65	нельзя было бы	2	2
66	там и здесь	6	2
67	к другу и	2	2
68	никогда не может	2	2
69	никогда не бывает	2	2
70	как бы не	2	2
