N	3gram	Bakhtin_Fr	Komedia
1	в том что	4	29
2	до сих пор	3	16
3	то же время	12	16
4	в то же	12	16
5	о том что	4	13
6	в самом деле	3	13
7	в свою очередь	3	10
8	по отношению к	3	9
9	с одной стороны	3	9
10	с другой стороны	2	8
11	в конце концов	5	7
12	после того как	6	6
13	в связи с	2	6
14	с точки зрения	4	6
15	в том числе	4	6
16	в этом отношении	3	5
17	о том как	3	5
18	за то что	4	5
19	можно было бы	2	4
20	в одном из	2	4
21	что у него	2	4
22	в той же	5	3
23	более или менее	3	3
24	в чем же	2	3
25	таким образом в	2	3
26	но и в	2	3
27	том числе и	2	3
28	мы найдем в	2	3
29	мы имеем в	2	2
30	у него в	2	2
31	в большинстве случаев	9	2
32	как мы видели	4	2
33	на первый план	2	2
34	же что и	2	2
35	каждый из них	2	2
36	так и в	3	2
37	как и в	2	2
38	друг за другом	2	2
39	таким образом и	2	2
40	в этой же	2	2
41	имеем в виду	2	2
