N	2gram	Berdyaev_V	VerxiiNi
1	и в	16	26
2	с тем	2	18
3	в этом	4	15
4	как бы	5	12
5	в том	3	11
6	не только	2	10
7	что в	3	9
8	так как	9	9
9	но и	5	9
10	но не	2	8
11	и не	20	8
12	потому что	4	7
13	то что	9	7
14	но в	3	7
15	том что	2	7
16	а с	2	7
17	религиозного сознания	5	6
18	к тому	3	6
19	в конце	3	6
20	что и	3	6
21	все эти	3	6
22	все это	5	6
23	и потому	7	6
24	так и	4	6
25	во всяком	2	6
26	никогда не	3	5
27	в мире	5	5
28	и для	3	5
29	не имеет	3	5
30	того чтобы	2	5
31	лишь в	3	5
32	в его	4	5
33	а не	7	5
34	что все	4	4
35	а в	2	4
36	в котором	4	4
37	в нем	4	4
38	и тогда	2	4
39	бога и	5	4
40	и что	3	4
41	в этих	3	4
42	только в	2	4
43	что он	4	4
44	к богу	8	3
45	уже не	2	3
46	хотя бы	3	3
47	без бога	2	3
48	того что	5	3
49	для него	2	3
50	богу и	2	2
51	и это	2	2
52	не могут	2	2
53	добра и	4	2
54	и люди	2	2
55	они в	3	2
56	между тем	2	2
57	конечно не	2	2
58	если не	3	2
59	в образе	4	2
60	что мы	4	2
61	под разными	2	2
62	в них	3	2
63	еще не	8	2
64	все что	4	2
65	жизни и	3	2
66	не было	3	2
67	превращается в	3	2
68	не в	3	2
69	религиозное сознание	2	2
70	и все	4	2
71	один из	2	2
72	не к	2	2
73	людей и	2	2
74	прежде всего	2	2
75	его не	2	2
76	тот же	3	2
77	с его	3	2
78	во всех	3	2
79	от бога	8	2
80	вслед за	2	2
81	не с	2	2
