N	2gram	Medvedev_U	VrazhdaK
1	не только	10	9
2	в этом	7	8
3	и в	14	8
4	но и	4	7
5	то что	7	7
6	но в	3	6
7	как и	3	6
8	и с	2	6
9	все же	3	6
10	и не	8	5
11	в россии	4	5
12	то же	5	5
13	в то	3	5
14	же время	3	5
15	между тем	2	5
16	это не	3	4
17	все это	5	4
18	что он	2	4
19	может быть	6	4
20	и у	2	3
21	в том	2	3
22	одним из	2	3
23	том что	2	3
24	в его	2	3
25	в конце	2	3
26	по нашему	3	3
27	с его	2	3
28	тем что	2	3
29	же не	2	2
30	и то	3	2
31	для него	3	2
32	на первый	2	2
33	в этой	4	2
34	в своей	3	2
35	как раз	2	2
36	в себе	2	2
37	о чем	2	2
38	таким образом	2	2
39	его и	2	2
40	не может	7	2
41	но это	2	2
