N	3gram	Vinokur_Vv	Freidism
1	с точки зрения	4	15
2	не может быть	10	14
3	по отношению к	4	11
4	в самом деле	6	10
5	в том что	15	9
6	во всяком случае	5	8
7	как мы видели	3	8
8	в то же	6	6
9	может быть и	2	6
10	то же время	6	6
11	можно сказать что	3	5
12	как мы уже	2	5
13	тем не менее	9	4
14	в этом отношении	4	4
15	сам по себе	2	4
16	не могут быть	2	4
17	в данном случае	4	4
18	в зависимости от	3	4
19	в свою очередь	2	4
20	мы уже знаем	2	3
21	и той же	2	3
22	на этот вопрос	5	3
23	но в то	3	3
24	о том что	13	3
25	в собственном смысле	3	3
26	для того чтобы	22	3
27	до сих пор	7	3
28	одной и той	2	3
29	что же касается	2	3
30	но вместе с	2	2
31	то же самое	3	2
32	в применении к	6	2
33	к этому времени	2	2
34	и тем не	3	2
35	вовсе не в	2	2
36	в другом месте	2	2
37	хотя бы и	2	2
38	заключается в том	3	2
39	в отличие от	4	2
40	в конце концов	2	2
41	с одной стороны	4	2
42	а также и	2	2
43	в чем же	3	2
44	в этом смысле	10	2
45	по меньшей мере	2	2
46	жизни и творчества	2	2
