N	2gram	Tiupa_Vved	VLabPisa
1	таким образом	6	32
2	в этом	27	29
3	не только	32	26
4	и в	23	26
5	может быть	25	23
6	хотя бы	2	20
7	и не	24	20
8	не может	14	17
9	в том	21	15
10	в его	9	15
11	этом отношении	7	14
12	в силу	2	14
13	прежде всего	11	13
14	все это	3	13
15	в частности	19	12
16	как это	2	12
17	в качестве	18	12
18	что в	6	11
19	с другой	10	11
20	то же	8	10
21	но и	31	10
22	и др	2	10
23	о том	7	10
24	к этому	3	9
25	об этом	5	9
26	для него	5	9
27	в своем	9	8
28	том что	16	8
29	не следует	3	8
30	могут быть	5	8
31	другой стороны	3	8
32	было бы	4	8
33	только в	9	8
34	вместе с	2	8
35	очевидно что	2	7
36	это не	7	7
37	из этих	5	7
38	во всех	2	7
39	по отношению	11	7
40	в году	2	7
41	то что	9	7
42	отношению к	11	7
43	тому что	2	7
44	как и	21	7
45	их в	3	7
46	в нем	9	7
47	в конечном	2	7
48	не было	5	7
49	же в	3	7
50	а не	31	7
51	не в	12	6
52	в то	5	6
53	в себе	15	6
54	или менее	2	6
55	все же	10	6
56	у него	8	6
57	так и	14	6
58	более или	2	6
59	приводит к	2	6
60	один из	3	6
61	и его	9	6
62	бы и	4	6
63	между тем	3	6
64	никогда не	6	5
65	даже в	3	5
66	в одном	5	5
67	конечном счете	2	5
68	перед нами	13	5
69	в результате	5	5
70	в пределах	3	5
71	в их	2	5
72	не является	7	5
73	одним из	5	5
74	действующих лиц	2	5
75	к тому	9	5
76	как бы	8	5
77	в них	4	5
78	в целом	4	5
79	связи с	2	5
80	же время	4	5
81	и есть	2	5
82	на основе	2	5
83	по поводу	5	4
84	одна из	5	4
85	в сознании	5	4
86	и ее	2	4
87	различного рода	3	4
88	роль в	2	4
89	в виду	3	4
90	это только	3	4
91	что он	2	4
92	в романе	6	4
93	что для	2	4
94	должен быть	3	4
95	отнюдь не	14	4
96	в самом	6	4
97	как раз	5	4
98	с ними	2	4
99	в своей	10	4
100	во время	3	4
101	можно сказать	6	4
102	в этой	2	4
103	и от	3	3
104	никак не	2	3
105	например в	2	3
106	и к	2	3
107	мы имеем	8	3
108	так же	2	3
109	и он	4	3
110	том как	4	3
111	вслед за	3	3
112	бы в	4	3
113	в значительной	2	3
114	в конце	3	3
115	и как	2	3
116	тому как	3	3
117	если бы	10	3
118	подобно тому	3	3
119	как он	2	3
120	как о	2	3
121	у нас	4	3
122	того что	7	3
123	мы видели	3	3
124	далеко не	5	3
125	что у	4	3
126	а в	15	3
127	всего лишь	7	3
128	в котором	11	3
129	мира и	5	3
130	в которых	2	3
131	что не	2	3
132	жизни и	8	3
133	того чтобы	2	3
134	что и	6	3
135	сводится к	6	3
136	у тургенева	2	3
137	и по	3	3
138	или в	3	3
139	что они	2	3
140	в слове	4	3
141	в течении	2	2
142	не о	2	2
143	если в	3	2
144	да и	3	2
145	восприятия и	2	2
146	или иной	5	2
147	и потому	2	2
148	не подлежит	2	2
149	еще и	2	2
150	так сказать	2	2
151	а к	3	2
152	о чем	4	2
153	одной стороны	9	2
154	и слова	2	2
155	можно было	2	2
156	вплоть до	2	2
157	при всей	3	2
158	что она	2	2
159	и через	2	2
160	начиная с	3	2
161	в другом	2	2
162	этом и	2	2
163	и даже	3	2
164	и у	2	2
165	ли не	2	2
166	которая не	2	2
167	мысль о	2	2
168	сознания субъекта	2	2
169	бы не	3	2
170	все они	2	2
171	в особенности	3	2
172	не всегда	2	2
173	в области	5	2
174	и наконец	2	2
175	у них	3	2
176	еще не	8	2
177	как у	3	2
178	начинается с	2	2
179	частности в	2	2
180	не по	4	2
181	в течение	2	2
182	всех его	2	2
183	а для	2	2
184	в чем	2	2
185	с одной	9	2
186	же самое	2	2
187	заключается в	2	2
188	не с	4	2
189	как известно	2	2
190	так например	2	2
191	в жизни	7	2
192	от них	2	2
193	к ним	4	2
194	том чтобы	2	2
195	но не	9	2
196	и для	8	2
197	ни с	2	2
198	стороны и	4	2
199	также и	6	2
200	не менее	4	2
201	на него	3	2
202	но в	14	2
203	они не	3	2
204	на то	3	2
205	могло бы	4	2
206	ли это	2	2
207	что такое	23	2
208	зависит от	3	2
209	не вполне	4	2
210	в своих	5	2
211	пока еще	6	2
212	в ней	5	2
213	в сфере	7	2
214	будто бы	3	2
215	к его	5	2
216	он и	2	2
217	не столько	5	2
218	что мы	2	2
219	представить себе	2	2
220	по себе	2	2
221	всяком случае	3	2
222	для них	3	2
223	внимание на	4	2
224	войны и	5	2
225	человека в	2	2
226	в противном	2	2
227	говорить о	5	2
228	было в	2	2
229	он не	6	2
230	и сам	2	2
231	должна быть	3	2
232	персонажей и	2	2
233	который в	5	2
234	хотя и	10	2
235	лишь в	4	2
236	во всяком	3	2
237	противном случае	2	2
238	подчеркнуть что	5	2
