N	3gram	Bakhtin_Fr	Problemy
1	то же время	5	26
2	в то же	5	26
3	с точки зрения	6	25
4	по отношению к	2	18
5	к себе самому	2	18
6	на самом деле	2	15
7	не может быть	5	14
8	в большинстве случаев	2	12
9	но в то	2	11
10	до сих пор	7	10
11	во всяком случае	2	9
12	и не может	2	8
13	в его целом	2	8
14	друг с другом	2	8
15	в том что	6	8
16	как раз и	2	7
17	и в то	2	7
18	мы уже говорили	12	7
19	не входит в	2	6
20	в отличие от	4	6
21	той или иной	5	5
22	подобно тому как	2	5
23	но все же	3	5
24	в той или	5	5
25	на протяжении всего	5	4
26	и прежде всего	4	4
27	о том что	3	4
28	так и в	3	4
29	зрения на мир	3	4
30	уже говорили что	3	4
31	в этом отношении	5	4
32	вполне понятно что	2	4
33	в большей или	7	3
34	как мы видели	2	3
35	большей или меньшей	7	3
36	и в других	2	3
37	как мы уже	8	3
38	в узком смысле	2	3
39	на этот вопрос	2	3
40	или меньшей степени	7	3
41	выходит за пределы	4	3
42	можно сказать что	3	3
43	или иной форме	4	2
44	и в том	2	2
45	но и на	2	2
46	но все это	2	2
47	еще далеко не	2	2
48	не только в	5	2
49	не знает и	2	2
50	дело в том	2	2
51	для того чтобы	2	2
52	в себе и	2	2
53	как бы ни	2	2
54	в значительной степени	4	2
55	о мире и	3	2
56	в целом ряде	2	2
