N	2gram	Bakhtin_KF	Stilisti
1	и в	28	42
2	как бы	9	30
3	не только	5	28
4	прежде всего	4	22
5	и т.д	4	21
6	хотя бы	5	18
7	то же	5	16
8	но и	9	16
9	и не	28	14
10	не может	29	13
11	может быть	45	13
12	как и	5	12
13	точки зрения	13	11
14	в себе	21	10
15	и как	2	10
16	отнюдь не	7	10
17	в этом	15	10
18	в то	3	9
19	для того	3	9
20	все же	5	9
21	то что	7	9
22	при этом	4	9
23	мы не	3	9
24	тем самым	4	8
25	ничего не	3	8
26	и это	12	8
27	с тем	2	8
28	в ней	3	8
29	с его	2	8
30	никогда не	5	7
31	же время	2	7
32	так и	2	7
33	потому что	2	7
34	только в	18	7
35	а не	17	7
36	и на	3	7
37	того чтобы	2	7
38	было бы	8	7
39	и его	18	7
40	и тем	3	7
41	или иной	2	6
42	во всех	11	6
43	не в	13	6
44	но ведь	5	6
45	в области	2	6
46	или как	2	6
47	в нем	32	6
48	в свою	3	6
49	в процессе	2	6
50	в его	42	6
51	слова в	2	6
52	в этой	2	6
53	и то	2	5
54	того или	3	5
55	в сознании	2	5
56	независимо от	3	5
57	и их	6	5
58	самом деле	3	5
59	а с	2	5
60	но все	6	5
61	тому что	2	5
62	а в	5	5
63	но в	5	5
64	или иного	3	5
65	с точки	10	5
66	что это	4	4
67	слово не	3	4
68	в одном	5	4
69	его в	5	4
70	если бы	8	4
71	то или	2	4
72	лишь в	8	4
73	были бы	2	4
74	того что	3	4
75	всех своих	4	4
76	один из	2	4
77	и все	9	4
78	в каждом	3	4
79	о том	3	4
80	и пр	3	4
81	уже не	7	4
82	в целом	10	4
83	или иное	2	4
84	той или	3	4
85	все это	10	4
86	в качестве	2	4
87	себя в	8	4
88	на самом	3	3
89	это не	10	3
90	том что	4	3
91	содержание и	2	3
92	и эта	2	3
93	но для	3	3
94	деятельности и	2	3
95	этого слова	2	3
96	от того	3	3
97	и здесь	7	3
98	в виду	3	3
99	та же	3	3
100	в том	6	3
101	еще не	5	3
102	вследствие этого	2	3
103	совершенно не	7	3
104	его и	2	3
105	как в	2	3
106	не знает	5	3
107	для него	13	3
108	по своему	3	3
109	как предмет	2	3
110	и для	10	3
111	нет и	3	3
112	сознания не	2	3
113	в котором	24	3
114	и само	2	3
115	если не	2	3
116	из которых	2	3
117	не будет	2	3
118	для нас	4	3
119	жизни и	8	3
120	что и	7	3
121	в ее	17	3
122	все эти	11	3
123	конечно не	7	3
124	не имеем	3	3
125	между тем	4	3
126	в основе	5	3
127	здесь мы	4	3
128	до конца	3	2
129	в каком	4	2
130	для этого	2	2
131	вопрос о	2	2
132	и потому	2	2
133	бытия в	5	2
134	мы имеем	5	2
135	но как	5	2
136	человека и	3	2
137	бы и	3	2
138	времени и	4	2
139	должно быть	6	2
140	к этому	2	2
141	по отношению	26	2
142	не нужно	2	2
143	при условии	2	2
144	и конечно	2	2
145	отношение к	6	2
146	должен быть	7	2
147	и содержание	5	2
148	я и	5	2
149	но эта	6	2
150	тем что	3	2
151	бы не	3	2
152	в их	9	2
153	разве не	2	2
154	что он	2	2
155	которого и	2	2
156	мой поступок	6	2
157	всех его	2	2
158	и ни	3	2
159	ни к	2	2
160	отношению к	22	2
161	себе и	3	2
162	к чему	3	2
163	не должен	3	2
164	в жизни	2	2
165	в мире	8	2
166	но не	12	2
167	и этот	3	2
168	в него	2	2
169	не должно	3	2
170	к нему	12	2
171	гораздо более	2	2
172	не из	2	2
173	в своих	4	2
174	еще более	2	2
175	не есть	22	2
176	чему не	2	2
177	место в	6	2
178	действительной жизни	3	2
179	в действительной	4	2
180	не было	8	2
181	и когда	2	2
182	здесь не	3	2
183	человек не	2	2
184	но это	6	2
185	в своей	11	2
186	события и	2	2
187	был бы	3	2
188	войти в	3	2
189	он не	6	2
190	с ним	5	2
191	тот же	3	2
192	вовсе не	7	2
193	ясно что	3	2
