N	2gram	Savitsky_P	TeoriaLi
1	в качестве	9	33
2	в мире	2	26
3	не только	17	24
4	и в	14	24
5	в частности	2	23
6	может быть	5	22
7	в том	9	20
8	и не	12	17
9	а в	4	15
10	но и	6	14
11	а не	2	14
12	в себе	3	14
13	но не	3	13
14	в этом	10	12
15	то же	9	12
16	но в	9	12
17	сводится к	3	12
18	в его	2	12
19	том что	4	11
20	точки зрения	3	11
21	что в	4	10
22	не в	5	9
23	с другой	5	9
24	в то	7	9
25	только в	7	9
26	не может	4	8
27	как бы	4	8
28	же время	7	8
29	в своем	4	7
30	а также	4	7
31	в области	11	7
32	не столько	2	7
33	в нем	3	7
34	тем самым	3	6
35	со стороны	2	6
36	не менее	2	6
37	то что	4	6
38	в русской	4	6
39	в ее	2	6
40	и тем	2	5
41	для того	3	5
42	и о	5	5
43	в пределах	8	5
44	между тем	3	5
45	могут быть	3	5
46	того что	2	5
47	в отношении	10	4
48	это не	3	4
49	в силу	2	4
50	отношении к	5	4
51	говорить о	2	4
52	отношения к	2	4
53	хх века	2	4
54	хотя и	3	4
55	и потому	4	3
56	во всех	2	3
57	одной стороны	3	3
58	и как	3	3
59	в порядке	3	3
60	если бы	4	3
61	и вот	2	3
62	с одной	3	3
63	есть в	2	3
64	в жизни	2	3
65	столь же	3	3
66	культуры в	2	3
67	именно в	2	3
68	потому что	3	3
69	том числе	2	3
70	прежде всего	3	3
71	и к	4	3
72	отнюдь не	2	3
73	с точки	3	3
74	во всей	2	3
75	например в	2	3
76	как раз	2	3
77	вслед за	3	3
78	о и	2	2
79	если в	2	2
80	тем более	2	2
81	я и	3	2
82	в значительной	2	2
83	может и	2	2
84	и политического	4	2
85	и это	2	2
86	к чему	2	2
87	о в	5	2
88	в них	2	2
89	по себе	4	2
90	мира с	2	2
91	в сочетании	2	2
92	и весьма	2	2
93	с ними	3	2
94	заключается в	3	2
95	все это	2	2
96	xix века	6	2
