N	3gram	Tiupa_Teor	Analitik
1	в том что	10	25
2	не может быть	5	19
3	по отношению к	10	18
4	в то же	8	16
5	той или иной	3	14
6	в данном случае	5	14
7	то же время	8	14
8	в отличие от	7	14
9	факторов художественного впечатления	4	13
10	в сочетании с	2	11
11	в конечном счете	6	11
12	мы имеем дело	2	11
13	так и не	5	10
14	подобно тому как	3	9
15	с одной стороны	3	9
16	с другой стороны	6	9
17	я в мире	8	9
18	того или иного	6	9
19	в свою очередь	3	9
20	значении этого слова	3	8
21	как и в	2	8
22	с точки зрения	3	8
23	присутствия в мире	6	8
24	состоит в том	6	8
25	кадров внутреннего зрения	7	7
26	в таком случае	2	7
27	тем не менее	3	6
28	одного и того	4	6
29	присутствия я в	7	6
30	так или иначе	5	6
31	и того же	4	6
32	в русской литературе	2	5
33	а всего лишь	3	5
34	роли в миропорядке	5	5
35	не только не	2	5
36	как уже говорилось	2	5
37	не сводится к	9	4
38	до известной степени	2	4
39	в самом деле	2	4
40	том что он	2	4
41	для того чтобы	5	4
42	в соответствии с	2	4
43	и тем самым	2	4
44	в основе своей	2	4
45	во второй строфе	4	4
46	в известном смысле	2	4
47	в самом начале	2	4
48	в равной степени	3	4
49	в силу своей	4	4
50	в значительной степени	2	4
51	в нашем случае	2	4
52	в этом смысле	3	4
53	в своем составе	3	4
54	в первой строфе	4	4
55	тех или иных	3	4
56	сама по себе	2	4
57	то ни было	2	3
58	бы то ни	2	3
59	в противном случае	2	3
60	в имени тебе	2	3
61	о полку игореве	2	3
62	не в самом	2	3
63	и а а	3	3
64	тот или иной	3	3
65	тогда как в	2	3
66	кто говорит и	2	3
67	всех без исключения	3	3
68	что в имени	2	3
69	со стороны адресата	2	3
70	однако при этом	2	3
71	не могут быть	2	3
72	в том числе	3	3
73	организации художественного текста	4	3
74	в связи с	3	3
75	можно сказать что	3	3
76	включает в себя	2	3
77	и в самом	2	3
78	субъектной организации художественного	3	3
79	в тарасе бульбе	2	3
80	пушкина что в	2	3
81	сказания или анекдота	2	2
82	тем или иным	2	2
83	одно и то	2	2
84	коем случае не	2	2
85	либо в сторону	2	2
86	в коем случае	2	2
87	и то же	2	2
88	так и его	2	2
89	организации художественного произведения	2	2
90	бенвенист ритм манифестирован	2	2
91	в этой системе	2	2
92	я с его	2	2
93	его эстетической доминантой	2	2
94	относительно своей роли	2	2
95	времени и в	2	2
96	не следует смешивать	3	2
97	и его внешней	2	2
98	более или менее	6	2
99	при этом что	2	2
100	стихотворении пушкина что	2	2
101	феноменов ментального внутреннего	2	2
102	а с другой	2	2
103	а и а	2	2
104	как и ее	2	2
105	внутренней и внешней	2	2
106	во внешнем мире	2	2
107	в единое целое	2	2
108	своей роли в	2	2
109	в войне и	2	2
110	милой гостьи с	2	2
111	отношения к сообщаемому	2	2
112	о у о	2	2
113	висит на волоске	3	2
114	но в то	2	2
115	по своей природе	3	2
116	ни в коем	2	2
117	лишь в самом	2	2
118	рамках одного текста	2	2
119	имеет в своем	2	2
120	следует смешивать с	3	2
121	организации феноменов ментального	2	2
122	гостьи с дудочкой	2	2
123	как совокупность факторов	2	2
124	в слове о	2	2
125	к тому что	2	2
126	совокупность факторов художественного	2	2
127	в рамках одного	2	2
128	в русской поэзии	2	2
129	внутренняя граница личности	2	2
130	это своего рода	2	2
131	позволяет говорить о	2	2
132	и в форме	2	2
133	у о о	2	2
134	стих звучит ритмическим	2	2
135	в данный момент	2	2
136	с легкой руки	2	2
137	войне и мире	2	2
138	в пределах строки	2	2
139	как к содержанию	2	2
140	этой точки зрения	2	2
141	в данном контексте	2	2
142	я героя как	2	2
143	взглянула на меня	3	2
144	с этой точки	2	2
145	вокруг я героя	2	2
146	слове о полку	2	2
147	внимательно взглянула на	3	2
148	однако в строке	2	2
149	индивидуального речевого замысла	2	2
150	о о и	2	2
