N	3gram	Propp_Russ	Dialekti
1	и т д	12	75
2	с точки зрения	3	46
3	в том что	27	25
4	не что иное	3	18
5	что иное как	3	18
6	тем не менее	3	16
7	только тогда когда	3	13
8	о том что	6	12
9	на то что	2	11
10	т е в	6	10
11	иметь в виду	2	9
12	подобно тому как	3	9
13	и в этом	2	9
14	не значит что	2	8
15	в то время	3	8
16	в связи с	4	7
17	для того чтобы	6	6
18	может быть и	3	6
19	к тому что	4	5
20	в виду что	2	5
21	потому что он	2	5
22	мы уже знаем	2	4
23	так же как	5	4
24	но это не	3	4
25	в данном случае	7	4
26	можно было бы	2	4
27	это не значит	2	4
28	же как и	3	3
29	ничего общего не	2	3
30	самом же деле	2	3
31	на самом же	2	3
32	но все же	2	3
33	мы не можем	5	2
34	друг к другу	2	2
35	к выводу что	3	2
36	в это время	3	2
37	том что в	7	2
38	и в том	2	2
39	так как это	2	2
40	в свою очередь	2	2
41	в таком виде	2	2
