N	3gram	Losev_Vlad	formyVre
1	то же время	7	21
2	в то же	7	18
3	в связи с	7	15
4	как мы уже	3	15
5	для того чтобы	3	12
6	не только в	3	11
7	и в то	3	10
8	в этом отношении	2	7
9	и т д	3	7
10	не может быть	4	7
11	мы уже сказали	2	6
12	в том же	3	6
13	а также и	2	6
14	в том что	13	5
15	на первый план	4	5
16	в то время	6	5
17	то время как	2	4
18	с другой стороны	3	4
19	во всяком случае	8	4
20	также и в	2	3
21	и в частности	3	3
22	о том что	9	3
23	как раз и	2	3
24	но в то	2	3
25	вместе с тем	2	3
26	как мы увидим	2	3
27	как мы сказали	2	2
28	само собой разумеется	2	2
29	он как мы	2	2
30	мы будем говорить	2	2
31	можно сказать что	3	2
32	так как он	2	2
33	дело в том	7	2
34	что и в	2	2
35	тем более что	2	2
36	в тех же	2	2
37	и до конца	2	2
38	к тому же	3	2
39	в свою очередь	2	2
