N	2gram	Berdyaev_O	slovoVRo
1	и в	19	92
2	в нем	10	59
3	может быть	11	59
4	и его	4	59
5	и не	13	51
6	не только	11	44
7	не может	4	41
8	но и	13	39
9	до конца	7	37
10	в этом	12	36
11	а не	11	34
12	так и	2	30
13	могут быть	3	29
14	в его	7	27
15	все это	6	25
16	как бы	3	24
17	и на	2	22
18	не в	11	21
19	прежде всего	9	19
20	как и	6	18
21	с ним	3	18
22	все же	2	17
23	все эти	4	17
24	в истории	2	17
25	но в	2	16
26	и с	2	15
27	человек и	4	15
28	это не	3	13
29	с его	4	13
30	и для	2	13
31	никогда не	9	12
32	и потому	2	12
33	отношение к	5	12
34	а в	5	12
35	еще не	3	12
36	и к	2	12
37	в этих	3	11
38	для него	5	11
39	в своем	2	10
40	в том	5	10
41	и все	10	10
42	в себе	3	10
43	лишь в	7	10
44	его в	2	9
45	и от	3	9
46	к нему	3	9
47	в своей	2	9
48	сказать что	2	9
49	так как	2	9
50	он не	7	9
51	не могут	3	8
52	человека и	10	8
53	человека в	11	8
54	в самом	5	8
55	том что	2	7
56	от него	7	7
57	его не	2	7
58	у него	22	7
59	в романах	4	7
60	не было	9	7
61	ничего не	2	6
62	как к	2	6
63	что в	4	6
64	и там	2	6
65	хотя бы	3	6
66	он в	2	6
67	по себе	2	6
68	в других	2	5
69	хотя и	2	5
70	для того	3	5
71	о том	3	5
72	и этим	2	5
73	уже в	2	5
74	но он	7	5
75	и ее	3	4
76	в другом	2	4
77	что и	2	4
78	что он	3	4
79	того что	3	4
80	даже и	2	4
81	того чтобы	4	4
82	только и	4	4
83	в которой	2	4
84	и о	2	4
85	человеке и	5	3
86	было бы	3	3
87	и то	2	3
88	к этому	2	3
89	не все	2	3
90	должно быть	2	3
91	это было	3	3
92	тем что	2	3
93	жизни в	2	3
94	ни с	7	3
95	не есть	2	3
96	в этой	5	3
97	потому что	9	3
98	все что	3	3
99	личности и	2	3
100	и нет	2	3
101	чем в	2	3
102	и есть	3	2
103	так что	2	2
104	и ни	2	2
105	то что	5	2
106	что все	2	2
107	достоевский был	3	2
108	что не	4	2
109	в ее	2	2
110	что они	2	2
111	человеческой личности	6	2
112	он был	8	2
113	к ней	2	2
114	образ человека	2	2
115	что для	2	2
116	возможностей и	2	2
117	в своих	3	2
118	момент в	2	2
119	он весь	2	2
