N	3gram	Propp_Isto	Narrotol
1	в том что	8	18
2	в данном случае	6	17
3	не только в	3	13
4	по отношению к	2	11
5	о том что	3	9
6	к тому же	4	9
7	тем не менее	6	8
8	не может быть	4	8
9	можно сказать что	2	6
10	с одной стороны	2	6
11	состоит в том	2	6
12	подобно тому как	3	5
13	но и в	2	5
14	во всяком случае	2	4
15	точно так же	8	3
16	в связи с	5	3
17	до сих пор	7	3
18	на то что	4	3
19	и то что	4	3
20	не только не	2	2
21	но все же	5	2
22	если бы она	2	2
23	здесь мы имеем	3	2
24	можно было бы	2	2
25	так же как	7	2
26	что иное как	6	2
27	на том свете	2	2
