N	3gram	Bakhtin_Fr	formyVre
1	то же время	12	21
2	в то же	12	18
3	в связи с	2	15
4	как мы уже	4	15
5	кн i гл	2	15
6	с точки зрения	4	15
7	кн ii гл	9	12
8	но и в	2	12
9	до сих пор	3	10
10	мы уже говорили	12	9
11	и прежде всего	2	8
12	в том числе	4	8
13	в большинстве случаев	9	8
14	прежде всего в	4	7
15	в этом отношении	3	7
16	в романе рабле	7	7
17	с одной стороны	3	6
18	мы уже сказали	2	6
19	а также и	3	6
20	мы еще вернемся	2	6
21	имеем в виду	2	6
22	в том что	4	5
23	на первый план	2	5
24	том числе и	2	5
25	мы имеем в	2	5
26	как и в	2	5
27	то есть в	6	5
28	мы уже указывали	2	4
29	же что и	2	4
30	вполне понятно что	2	4
31	в последующие эпохи	2	4
32	в средние века	9	4
33	с другой стороны	2	4
34	кн iii гл	7	4
35	по отношению к	3	4
36	во рту пантагрюэля	4	4
37	в его целом	2	4
38	и в литературе	2	3
39	все то что	3	3
40	влияние на рабле	3	3
41	во всех ее	2	3
42	в другом месте	3	3
43	а следовательно и	2	3
44	о том как	3	3
45	в самом человеке	2	3
46	о том что	4	3
47	так и в	3	3
48	но в то	3	3
49	сих пор еще	3	3
50	в литературе и	2	3
51	в эпизоде с	7	3
52	друг за другом	2	3
53	как мы увидим	2	3
54	все эти образы	3	3
55	человеческого тела и	2	3
56	и все они	2	2
57	мы находим в	2	2
58	со всех сторон	2	2
59	в своем романе	2	2
60	это прежде всего	3	2
61	его то есть	2	2
62	со всеми его	3	2
63	конечно не в	2	2
64	но по существу	2	2
65	о загробном мире	2	2
66	у рабле мы	2	2
67	дело в том	2	2
68	в елисейских полях	5	2
69	ничего не осталось	2	2
70	рядом с этим	2	2
71	при виде осла	2	2
72	как мы видим	5	2
73	без отрыва от	2	2
74	жизни и смерти	3	2
75	и до конца	4	2
76	но в нем	2	2
77	в свою очередь	3	2
78	таким образом и	2	2
