N	3gram	Savitsky_E	EvropaiC
1	в том что	6	16
2	друг с другом	3	9
3	с точки зрения	16	8
4	для того чтобы	5	7
5	на то что	2	7
6	друг от друга	2	6
7	по сравнению с	2	5
8	с течением времени	2	4
9	с другой стороны	2	4
10	не может быть	2	4
11	то ни было	4	3
12	бы то ни	4	3
13	так же как	5	3
14	в данном случае	2	3
15	заключается в том	2	3
16	с одной стороны	8	2
17	заключает в себе	3	2
18	во всяком случае	3	2
19	культур и народов	3	2
20	рано или поздно	2	2
21	и качественной несоизмеримости	6	2
22	то же время	14	2
23	в то же	15	2
24	в свою очередь	2	2
25	тех народов которые	2	2
26	равноценности и качественной	7	2
