N	2gram	Ircho_Kome	KFilosof
1	может быть	14	45
2	в его	12	42
3	в нем	8	32
4	не может	9	29
5	и не	28	28
6	и в	37	28
7	по отношению	6	26
8	в котором	6	24
9	отношению к	4	22
10	в себе	4	21
11	и его	10	18
12	только в	3	18
13	в своем	9	17
14	в ее	3	17
15	а не	5	17
16	в этом	18	15
17	не в	7	13
18	точки зрения	8	13
19	но не	9	12
20	и это	4	12
21	к нему	8	12
22	ни в	14	12
23	в своей	6	11
24	во всех	4	11
25	из себя	3	11
26	это не	3	10
27	в целом	4	10
28	от себя	2	10
29	и для	7	10
30	все это	7	10
31	с точки	6	10
32	и есть	3	10
33	в их	5	9
34	но и	18	9
35	как бы	7	9
36	и все	6	9
37	себя в	3	8
38	если бы	18	8
39	не было	6	8
40	со стороны	16	8
41	в мире	2	8
42	было бы	7	8
43	и здесь	11	7
44	должен быть	2	7
45	совершенно не	2	7
46	то что	5	7
47	отнюдь не	5	7
48	конечно не	4	7
49	что и	12	7
50	во всем	2	7
51	вовсе не	6	7
52	отношение к	7	6
53	в том	24	6
54	но все	5	6
55	не имеет	6	6
56	в смысле	2	6
57	ко мне	2	6
58	я не	4	6
59	и я	3	6
60	он не	11	6
61	никогда не	5	5
62	его в	9	5
63	все же	9	5
64	не только	13	5
65	мы имеем	4	5
66	хотя бы	5	5
67	то же	14	5
68	ни одно	3	5
69	еще не	10	5
70	не знает	7	5
71	а в	12	5
72	но в	7	5
73	как и	10	5
74	что я	5	5
75	в одном	3	5
76	от своей	2	5
77	себя и	2	5
78	я и	2	5
79	с ним	10	5
80	в основе	3	5
81	том что	22	4
82	нисколько не	3	4
83	что в	11	4
84	не как	2	4
85	не по	7	4
86	ни было	3	4
87	времени и	2	4
88	за свое	2	4
89	чем не	2	4
90	прежде всего	7	4
91	в чем	7	4
92	отношению ко	2	4
93	к ним	5	4
94	в своих	4	4
95	для нас	7	4
96	при этом	11	4
97	только как	2	4
98	должна быть	2	4
99	как его	4	4
100	между тем	6	4
101	до конца	4	3
102	ничего не	6	3
103	в то	14	3
104	от него	2	3
105	здесь не	2	3
106	человека и	2	3
107	в каждом	3	3
108	в другом	2	3
109	от того	2	3
110	тем что	12	3
111	и тем	4	3
112	бы не	3	3
113	для того	9	3
114	самом деле	13	3
115	тем как	2	3
116	в виду	3	3
117	людей и	2	3
118	и тот	6	3
119	по своему	3	3
120	его жизни	2	3
121	нет и	4	3
122	не менее	9	3
123	независимо от	4	3
124	о том	21	3
125	в ней	7	3
126	в свою	12	3
127	меня и	2	3
128	могут быть	3	3
129	котором он	2	3
130	и этим	3	3
131	здесь нет	4	3
132	и на	6	3
133	что не	5	3
134	ближе к	3	3
135	мы не	6	3
136	и может	2	3
137	был бы	4	3
138	войти в	2	3
139	один и	3	3
140	из его	3	3
141	меня в	2	3
142	тот же	11	3
143	не дает	5	3
144	ясно что	12	3
145	не о	3	2
146	конечно в	2	2
147	все остальные	2	2
148	чтобы не	3	2
149	для этого	3	2
150	и мы	5	2
151	и потому	2	2
152	бы он	3	2
153	его на	5	2
154	говорить о	6	2
155	и ее	3	2
156	и эта	2	2
157	ответственность за	2	2
158	то ни	4	2
159	к этому	11	2
160	дело не	2	2
161	вопрос о	2	2
162	в это	2	2
163	к себе	9	2
164	тем не	3	2
165	как к	3	2
166	и как	3	2
167	а как	2	2
168	в области	3	2
169	не остается	3	2
170	а с	2	2
171	что он	15	2
172	чтобы дать	2	2
173	из которых	7	2
174	которого и	2	2
175	со всеми	2	2
176	отказаться от	3	2
177	а для	2	2
178	так и	4	2
179	его и	3	2
180	но нет	2	2
181	на волю	2	2
182	едва ли	16	2
183	с тем	6	2
184	как в	4	2
185	тому что	5	2
186	она не	3	2
187	дело с	4	2
188	в ту	2	2
189	еще более	4	2
190	имеем в	2	2
191	ни у	2	2
192	а по	5	2
193	однако что	2	2
194	если не	7	2
195	он и	5	2
196	один из	6	2
197	потому что	19	2
198	не будет	2	2
199	того чтобы	9	2
200	и когда	2	2
201	что эта	2	2
202	не следует	2	2
203	в качестве	4	2
204	же время	12	2
205	в этой	7	2
206	бы то	3	2
207	ни был	2	2
208	основе своей	2	2
209	с его	6	2
