N	2gram	Bakhtin_Pr	Sovremen
1	не может	31	17
2	точки зрения	36	12
3	может быть	38	12
4	таким образом	22	11
5	мы не	3	9
6	в каждом	11	8
7	и в	59	7
8	в этом	40	7
9	и не	66	6
10	ничего не	8	6
11	как и	21	6
12	в результате	6	6
13	мы можем	3	6
14	что же	5	5
15	с точки	21	5
16	все эти	12	5
17	и наконец	5	5
18	в условиях	4	5
19	прежде всего	17	5
20	нет и	4	4
21	вопрос о	4	4
22	мы видели	3	4
23	зависимости от	5	4
24	это не	13	4
25	не только	26	4
26	в том	17	4
27	в зависимости	5	4
28	мы должны	6	4
29	как бы	40	4
30	их в	8	4
31	так как	11	4
32	же это	2	4
33	точку зрения	9	4
34	в дальнейшем	2	4
35	в целом	8	4
36	жизни и	21	4
37	вместе с	2	4
38	а в	9	4
39	из них	8	4
40	для нас	3	3
41	и т.д	2	3
42	он может	4	3
43	ведь это	3	3
44	и потому	9	3
45	но в	7	3
46	с самого	3	3
47	при этом	5	3
48	не в	10	3
49	все же	9	3
50	он в	3	3
51	как он	5	3
52	было бы	10	3
53	в области	3	3
54	уже в	9	3
55	в себе	9	3
56	еще не	11	3
57	одна из	4	3
58	у нас	2	3
59	и все	4	3
60	все это	12	3
61	в нем	38	3
62	а не	30	3
63	в первом	3	3
64	и к	5	3
65	всех элементов	3	3
66	что она	6	3
67	в этой	5	3
68	то же	15	3
69	в одном	14	3
70	отличается от	3	3
71	самого начала	4	3
72	в конце	9	3
73	принципиально не	2	2
74	но все	8	2
75	на его	7	2
76	на этот	2	2
77	и по	4	2
78	всяком случае	3	2
79	что все	5	2
80	конечно в	2	2
81	роль в	2	2
82	не менее	3	2
83	той же	7	2
84	не могут	6	2
85	мы видим	5	2
86	в его	44	2
87	с этим	2	2
88	и пр	3	2
89	говорить об	2	2
90	и что	2	2
91	то и	2	2
92	во всяком	5	2
93	и во	2	2
94	с другом	4	2
95	в науке	2	2
96	приводит к	4	2
97	из этих	2	2
98	так сказать	8	2
99	в самом	19	2
100	и есть	6	2
101	или же	2	2
102	что в	14	2
103	совершенно не	2	2
104	все те	2	2
105	ни одна	2	2
106	в таком	2	2
107	в которой	6	2
108	у него	9	2
109	из одного	4	2
110	самом деле	9	2
111	уже не	14	2
112	то ни	3	2
113	если же	3	2
114	в нашем	3	2
115	для его	4	2
116	могут быть	5	2
117	в один	2	2
118	только один	2	2
119	в отличие	3	2
120	же мы	2	2
121	отличие от	3	2
122	тот же	4	2
123	как мы	10	2
124	говорить о	3	2
125	не дает	4	2
126	или иной	3	2
127	на котором	3	2
128	из которых	3	2
129	и даже	4	2
130	он приводит	3	2
131	друг с	4	2
