N	2gram	Vinokur_Ku	Tvorches
1	у достоевского	2	91
2	и в	44	56
3	как бы	11	41
4	в его	16	37
5	в то	4	30
6	то же	12	25
7	не только	29	24
8	но в	11	24
9	в году	3	24
10	же время	4	24
11	и его	8	23
12	и не	23	23
13	а в	7	23
14	как и	3	23
15	и т	62	22
16	в этом	31	22
17	в том	47	21
18	что в	25	21
19	том что	30	19
20	он не	4	19
21	может быть	25	19
22	потому что	40	19
23	у него	3	18
24	то что	14	18
25	что он	7	17
26	все это	10	17
27	т д	21	17
28	и на	8	17
29	таким образом	17	17
30	никогда не	2	16
31	прежде всего	14	16
32	как в	6	16
33	при этом	6	16
34	не может	13	16
35	но и	13	16
36	xix века	5	15
37	в этой	8	15
38	с его	4	15
39	но это	4	15
40	и с	11	15
41	это не	13	14
42	и даже	5	14
43	о том	10	13
44	а не	17	13
45	тем самым	5	12
46	в целом	5	12
47	в котором	4	12
48	все же	17	11
49	в своей	4	11
50	для него	2	11
51	отнюдь не	5	11
52	в конце	5	10
53	не в	18	10
54	так и	10	10
55	уже в	5	10
56	представление о	3	10
57	но не	11	10
58	в самом	20	10
59	когда он	4	10
60	только в	15	10
61	как будто	2	10
62	в свою	4	9
63	в нем	7	9
64	один из	8	9
65	и от	2	9
66	наряду с	2	9
67	в своих	2	9
68	во многом	2	9
69	даже в	4	8
70	так же	8	8
71	в себе	4	8
72	в духе	3	8
73	в их	3	8
74	не менее	12	8
75	на его	3	8
76	так как	16	8
77	тогда как	2	8
78	вовсе не	18	8
79	к этому	4	8
80	об этом	4	8
81	в соответствии	6	8
82	еще не	10	8
83	одним из	2	8
84	именно в	7	8
85	соответствии с	5	8
86	хотя и	7	8
87	вместе с	8	8
88	казалось бы	5	7
89	за собой	2	7
90	достоевского и	2	7
91	самом деле	17	7
92	своего рода	4	7
93	в чем	2	7
94	например в	5	7
95	и он	4	7
96	что она	5	7
97	в которой	7	7
98	в этих	5	7
99	не случайно	7	7
100	уже не	13	7
101	приводит к	3	6
102	и далее	3	6
103	ли не	4	6
104	так что	5	6
105	и все	4	6
106	на эту	2	6
107	не столько	2	6
108	все эти	17	6
109	хотя бы	19	6
110	конечном счете	2	6
111	и как	3	6
112	если бы	21	6
113	в конечном	3	6
114	с ним	5	6
115	а потому	6	6
116	ничего не	6	5
117	до конца	3	5
118	не имеют	3	5
119	по отношению	9	5
120	но если	2	5
121	и у	3	5
122	том же	3	5
123	это все	2	5
124	это как	2	5
125	т п	39	5
126	в современном	3	5
127	в своем	4	5
128	а с	3	5
129	не так	2	5
130	в них	10	5
131	и это	3	5
132	что этот	2	5
133	что не	10	5
134	что и	5	5
135	в ее	2	5
136	и по	4	5
137	что они	5	5
138	в истории	3	5
139	тот же	7	5
140	что это	11	5
141	в наше	3	5
142	с этим	6	5
143	дело не	4	5
144	на деле	2	5
145	между тем	11	5
146	как у	2	5
147	отношению к	9	5
148	наше время	3	5
149	что у	3	5
150	с другой	14	5
151	как правило	2	5
152	с большой	2	5
153	что я	4	5
154	если не	4	5
155	из них	4	5
156	я не	5	5
157	не было	6	5
158	в таком	3	5
159	но с	2	5
160	перед нами	4	4
161	в область	2	4
162	и потому	6	4
163	крайней мере	11	4
164	не был	2	4
165	роль в	6	4
166	это и	6	4
167	в частности	6	4
168	как это	6	4
169	отличие от	3	4
170	не знает	4	4
171	в такой	2	4
172	того что	11	4
173	что все	6	4
174	но только	5	4
175	с большим	4	4
176	точки зрения	25	4
177	на улице	2	4
178	ту же	6	4
179	так в	2	4
180	что на	2	4
181	могут быть	5	4
182	сих пор	5	4
183	а а	4	4
184	однако в	2	4
185	же как	3	4
186	с ними	6	4
187	было в	2	4
188	и когда	2	4
189	и мы	2	4
190	так сказать	5	4
191	по преимуществу	3	4
192	дело в	2	4
193	в каждом	3	4
194	чуть ли	3	4
195	превращается в	4	4
196	тем что	9	4
197	и есть	3	4
198	с этой	4	4
199	что его	2	4
200	по крайней	11	4
201	в отличие	3	4
202	и более	3	4
203	не мог	2	4
204	связан с	2	4
205	далеко не	2	4
206	этот вопрос	7	4
207	в которых	8	4
208	к жизни	2	4
209	с точки	16	4
210	говорить о	5	4
211	той же	5	4
212	но он	2	4
213	до сих	5	4
214	не есть	4	3
215	этого вопроса	3	3
216	его к	5	3
217	действия и	2	3
218	на самом	3	3
219	к себе	4	3
220	в другом	2	3
221	отношение к	2	3
222	как к	2	3
223	это определение	2	3
224	давно уже	2	3
225	к которому	3	3
226	в виду	7	3
227	на все	3	3
228	и тем	7	3
229	со стороны	8	3
230	в области	15	3
231	с полным	2	3
232	но что	3	3
233	мы знаем	3	3
234	в искусстве	2	3
235	мы находим	2	3
236	так например	3	3
237	любви к	2	3
238	из письма	2	3
239	о котором	4	3
240	более того	2	3
241	к тому	8	3
242	гораздо более	6	3
243	может служить	4	3
244	свидетельствует о	3	3
245	в ней	6	3
246	на себя	3	3
247	другой стороны	12	3
248	что оно	6	3
249	всяком случае	8	3
250	иными словами	10	3
251	точно так	4	3
252	переходит в	2	3
253	должны быть	4	3
254	что с	2	3
255	там где	7	3
256	в первом	3	3
257	можно сказать	6	3
258	заключается в	3	3
259	как мы	2	3
260	но зато	2	3
261	да и	5	3
262	сказать что	5	3
263	если в	2	3
264	во многих	3	3
265	сами по	2	3
266	время в	2	3
267	из этих	5	3
268	и тогда	4	3
269	и еще	4	3
270	не все	4	3
271	отличается от	2	3
272	только что	2	3
273	кроме того	2	3
274	в статье	3	3
275	лишь в	6	3
276	и вот	4	3
277	был бы	4	3
278	не является	2	3
279	только для	3	3
280	ее в	2	3
281	для того	23	3
282	и их	2	3
283	у нас	19	3
284	не с	4	3
285	на этот	4	3
286	но уже	6	3
287	в себя	2	3
288	что для	3	3
289	и если	4	3
290	на этом	4	3
291	по себе	10	3
292	несмотря на	6	3
293	в русском	14	3
294	сводится к	3	3
295	вряд ли	5	3
296	и что	11	3
297	во всяком	8	3
298	или в	5	3
299	и только	2	3
300	тому же	2	3
301	в одном	4	3
302	данном случае	2	2
303	все более	2	2
304	в отношении	2	2
305	к одному	2	2
306	в первую	5	2
307	в таких	7	2
308	во все	2	2
309	в силах	2	2
310	не могут	5	2
311	слова не	2	2
312	но как	2	2
313	о чем	2	2
314	за этим	2	2
315	в тех	4	2
316	еще раз	2	2
317	не потому	6	2
318	но даже	3	2
319	в силу	16	2
320	есть не	2	2
321	должен быть	8	2
322	это действительно	2	2
323	в устах	3	2
324	свою очередь	4	2
325	в одно	2	2
326	в современной	3	2
327	всякого рода	2	2
328	точку зрения	2	2
329	связано с	3	2
330	и где	2	2
331	и против	2	2
332	смысл и	5	2
333	образом в	3	2
334	о нем	2	2
335	с тем	5	2
336	следовало бы	2	2
337	для этой	2	2
338	может и	2	2
339	тому что	3	2
340	ли в	3	2
341	на том	4	2
342	того же	6	2
343	была бы	5	2
344	мы наблюдаем	2	2
345	жизнь в	2	2
346	большую роль	2	2
347	что можно	4	2
348	и без	2	2
349	ответ на	2	2
350	между прочим	4	2
351	настоящее время	2	2
352	то это	3	2
353	в известном	2	2
354	в прямом	2	2
355	что же	11	2
356	нуждается в	5	2
357	для них	2	2
358	того чтобы	25	2
359	когда в	4	2
360	было бы	28	2
361	же в	5	2
362	связи с	8	2
363	первую очередь	3	2
364	в сущности	11	2
365	в связи	4	2
366	в качестве	12	2
367	рядом с	7	2
368	в действительности	2	2
369	и того	2	2
370	здесь мы	2	2
371	по поводу	2	2
372	всех этих	4	2
373	что если	4	2
374	в данном	8	2
375	ли это	4	2
376	в нашей	4	2
377	только то	2	2
378	так мы	2	2
379	же это	2	2
380	в которые	2	2
381	а главное	3	2
382	по мере	3	2
383	тем не	10	2
384	переход от	4	2
385	д и	3	2
386	но ведь	3	2
387	в речи	5	2
388	как о	2	2
389	этой области	3	2
390	в результате	8	2
391	традиции в	3	2
392	и о	3	2
393	указывает на	2	2
394	чаще всего	2	2
395	в целях	2	2
396	с одной	3	2
397	которого не	2	2
398	раз на	2	2
399	и должно	2	2
400	очень много	3	2
401	не имеет	6	2
402	и является	4	2
403	ни в	3	2
404	столь же	2	2
405	и здесь	8	2
406	я в	2	2
407	в ряде	2	2
408	в сфере	3	2
409	справедливо указывает	2	2
410	школы и	2	2
411	целом и	2	2
412	но для	4	2
413	так ли	2	2
414	где нет	2	2
415	внимание на	5	2
416	в стороне	2	2
417	с их	3	2
418	только как	3	2
419	и уже	2	2
420	конце концов	3	2
421	или даже	2	2
422	своей собственной	3	2
423	не просто	7	2
424	как на	4	2
425	же и	4	2
426	не значит	2	2
427	как раз	10	2
428	ясно что	7	2
