N	3gram	Ircho_Kome	Problema
1	тем не менее	2	56
2	о том что	6	39
3	в том что	13	37
4	и т д	4	33
5	то же самое	2	30
6	в связи с	3	29
7	во всяком случае	4	25
8	с другой стороны	6	25
9	в конце концов	4	23
10	на то что	2	19
11	в этом смысле	2	19
12	для того чтобы	3	17
13	в то же	5	17
14	до сих пор	3	14
15	можно было бы	3	13
16	в н э	6	12
17	в то время	8	12
18	так или иначе	4	12
19	то время как	6	12
20	бы то ни	4	11
21	с одной стороны	5	11
22	вместе с тем	4	10
23	не говоря уже	4	9
24	говоря уже о	4	7
25	с самого начала	2	7
26	к тому же	12	7
27	может быть даже	2	7
28	но и в	2	7
29	в этой области	2	7
30	только потому что	2	7
31	то ни было	4	6
32	в этом отношении	3	6
33	до н э	3	5
34	том что он	4	5
35	в первую очередь	5	5
36	на этот раз	5	5
37	v в н	2	5
38	в том числе	4	5
39	друг от друга	2	4
40	именно потому что	2	4
41	несмотря на всю	3	4
42	в это время	3	4
43	в новое время	2	4
44	у нас в	2	4
45	после того как	3	3
46	к тому что	3	3
47	как и в	2	3
48	что и в	2	3
49	или может быть	2	3
50	за то что	4	3
51	то что он	2	3
52	в отличие от	3	3
53	iii в н	2	2
54	по отношению к	5	2
55	можно судить по	2	2
56	едва ли можно	3	2
57	что он не	2	2
58	в этом же	2	2
59	таким образом в	2	2
60	в частности в	2	2
61	а то и	3	2
62	и т п	7	2
63	и тем что	2	2
