N	2gram	Vinokur_Ku	SlovoVZh
1	не может	13	16
2	точки зрения	25	14
3	может быть	25	14
4	и его	8	13
5	как бы	11	13
6	и в	44	12
7	таким образом	17	12
8	в нашем	8	11
9	отношению к	9	11
10	по отношению	9	11
11	и не	23	10
12	так как	16	9
13	если бы	21	9
14	прежде всего	14	8
15	для нас	6	7
16	сказать что	5	7
17	слова и	8	6
18	при этом	6	6
19	в том	47	6
20	в нем	7	6
21	только в	15	6
22	с помощью	12	6
23	в ней	6	6
24	никогда не	2	5
25	как в	6	5
26	что мы	6	5
27	в виду	7	5
28	можно сказать	6	5
29	но в	11	5
30	том что	30	5
31	то же	12	5
32	как и	3	5
33	и следовательно	2	5
34	должна быть	6	5
35	хотя бы	19	5
36	а не	17	5
37	то что	14	5
38	отнюдь не	5	5
39	в самом	20	4
40	в этом	31	4
41	не только	29	4
42	на самом	3	4
43	что не	10	4
44	и является	4	4
45	зависимости от	9	4
46	социального общения	3	4
47	не в	18	4
48	с другой	14	4
49	все же	17	4
50	дело в	2	4
51	так и	10	4
52	и на	8	4
53	уже не	13	4
54	свое выражение	2	4
55	от того	5	4
56	отношение к	2	4
57	как к	2	3
58	в них	10	3
59	по себе	10	3
60	в каком	6	3
61	о том	10	3
62	и для	3	3
63	слово в	2	3
64	да и	5	3
65	так называемой	2	3
66	он должен	2	3
67	и уже	2	3
68	ни в	3	3
69	все эти	17	3
70	в котором	4	3
71	то ни	2	3
72	так же	8	3
73	в своей	4	3
74	конечно не	3	3
75	в себе	4	3
76	нуждается в	5	3
77	еще не	10	3
78	здесь не	5	3
79	это как	2	3
80	все это	10	3
81	когда он	4	3
82	между тем	11	3
83	и с	11	3
84	этой точки	4	3
85	но для	4	3
86	не менее	12	3
87	сих пор	5	3
88	с ним	5	3
89	до сих	5	3
90	в пределах	8	3
91	и по	4	3
92	в такой	2	3
93	самом деле	17	3
94	и пр	23	3
95	того что	11	3
96	тем не	10	3
97	и более	3	3
98	ведь и	2	3
99	но и	13	3
100	для него	2	3
101	ясно что	7	3
102	в особенности	6	2
103	и то	7	2
104	мы в	3	2
105	в его	16	2
106	данном случае	2	2
107	до конца	3	2
108	и здесь	8	2
109	что в	25	2
110	к ним	2	2
111	социальной жизни	3	2
112	не так	2	2
113	в отношении	2	2
114	не есть	4	2
115	же относится	2	2
116	ничего не	6	2
117	общего с	2	2
118	речи в	7	2
119	с его	4	2
120	как не	4	2
121	в атмосфере	2	2
122	что и	5	2
123	это не	13	2
124	более того	2	2
125	и все	4	2
126	кроме того	2	2
127	там где	7	2
128	слова но	3	2
129	с точки	16	2
130	содержания и	2	2
131	но все	5	2
132	тому же	2	2
133	к слову	2	2
134	в своем	4	2
135	на все	3	2
136	дело с	2	2
137	в зависимости	7	2
138	в данном	8	2
139	его к	5	2
140	слово это	11	2
141	действия и	2	2
142	мы имеем	11	2
143	и что	11	2
144	на примере	3	2
145	в то	4	2
146	уже в	5	2
147	вместе со	2	2
148	смысл и	5	2
149	с этой	4	2
150	в этих	5	2
151	одной стороны	2	2
152	еще раз	2	2
153	но это	4	2
154	в настоящее	2	2
155	он не	4	2
156	в какой	7	2
157	как только	2	2
158	точку зрения	2	2
159	как на	4	2
160	и потому	6	2
161	общения и	2	2
162	оно не	5	2
163	но не	11	2
164	как это	6	2
165	на это	3	2
166	в себя	2	2
167	мы можем	2	2
168	была бы	5	2
169	что слово	6	2
170	могут быть	5	2
171	в чем	2	2
172	в форме	3	2
173	быть только	3	2
174	настоящее время	2	2
175	со словом	3	2
176	с одной	3	2
177	выражение в	4	2
178	относится к	3	2
179	к этому	4	2
180	между ними	2	2
181	и значение	2	2
182	тогда когда	7	2
183	но что	3	2
184	другой стороны	12	2
185	вместе с	8	2
186	но зато	2	2
