N	2gram	Nazirov_Tr	UchenyiS
1	и в	18	14
2	не только	8	10
3	и не	7	8
4	прежде всего	4	8
5	то что	4	7
6	не может	5	7
7	в этом	9	7
8	может быть	7	6
9	то же	5	5
10	все это	4	5
11	но и	4	4
12	в этой	4	4
13	в частности	2	3
14	это не	5	3
15	только к	2	3
16	вряд ли	2	3
17	и то	2	3
18	все же	5	3
19	как и	5	3
20	в то	5	3
21	но в	6	3
22	же время	6	3
23	для него	3	3
24	в самом	2	2
25	в себе	4	2
26	о чем	3	2
27	что он	6	2
28	к области	2	2
29	что она	2	2
30	ничего не	2	2
31	и с	7	2
32	не случайно	2	2
33	что и	2	2
34	не могут	2	2
35	тем что	2	2
36	том что	4	2
37	а как	2	2
38	в его	3	2
39	это уже	2	2
40	в том	2	2
41	что все	2	2
42	с его	2	2
43	но это	4	2
44	не в	2	2
45	бы и	2	2
46	в конце	3	2
