N	3gram	Losev_Vesc	EvropaiC
1	в том что	9	16
2	друг с другом	2	9
3	более или менее	4	8
4	с точки зрения	6	8
5	а и в	9	7
6	для того чтобы	2	7
7	на то что	7	7
8	так или иначе	5	5
9	по сравнению с	7	5
10	в самом деле	7	5
11	то ясно что	2	4
12	тем не менее	11	4
13	с другой стороны	3	4
14	в конце концов	2	4
15	о том что	4	4
16	не может быть	22	4
17	то ни было	12	3
18	вместе с тем	3	3
19	бы то ни	12	3
20	так же как	2	3
21	в данном случае	2	3
22	все же не	3	3
23	заключается в том	3	3
24	не может не	3	3
25	и то что	5	3
26	то что у	2	2
27	с одной стороны	3	2
28	во всяком случае	2	2
29	но все же	2	2
30	в то время	4	2
31	то же время	4	2
32	том что он	2	2
33	в то же	5	2
34	а следовательно и	2	2
35	только то что	3	2
36	в свою очередь	5	2
