N	2gram	Nazirov_Tr	Marksizm
1	может быть	7	64
2	и в	18	63
3	и не	7	55
4	как бы	7	53
5	не может	5	47
6	и его	6	41
7	в этом	9	39
8	не только	8	29
9	в нем	4	28
10	то же	5	28
11	но и	4	27
12	прежде всего	4	24
13	как и	5	24
14	в самом	2	24
15	так и	5	23
16	в том	2	22
17	то что	4	22
18	при этом	3	20
19	для него	3	20
20	том что	4	19
21	не в	2	19
22	в его	3	19
23	но в	6	18
24	в ее	2	18
25	все же	5	17
26	в то	5	16
27	и как	3	16
28	что он	6	15
29	отнюдь не	3	15
30	в русском	2	15
31	же время	6	15
32	в данном	2	14
33	ничего не	2	13
34	так же	4	13
35	и здесь	2	13
36	что в	4	13
37	он не	2	12
38	друг друга	2	11
39	как в	3	11
40	и все	4	11
41	к нему	3	11
42	и на	7	11
43	все эти	3	11
44	еще не	4	11
45	и что	4	11
46	никогда не	2	10
47	его в	2	10
48	в основном	3	10
49	отличие от	2	10
50	с его	2	10
51	одна из	2	10
52	в своем	3	10
53	в отличие	2	10
54	в таком	2	10
55	в себе	4	9
56	а как	2	9
57	это не	5	9
58	и это	2	9
59	к тому	2	9
60	что это	5	9
61	не имеет	2	9
62	ни в	2	9
63	перед нами	2	8
64	и ее	2	8
65	что и	2	8
66	и даже	4	8
67	и с	7	8
68	столь же	2	8
69	у него	6	8
70	до конца	2	7
71	в этой	4	7
72	о том	2	7
73	он сам	7	7
74	вопрос о	2	6
75	то есть	3	6
76	он и	2	6
77	все это	4	6
78	с ее	3	6
79	уже не	2	6
80	как же	2	5
81	о чем	3	5
82	в конце	3	5
83	в душе	2	5
84	в первом	2	5
85	должно быть	3	5
86	в одном	2	5
87	не могут	2	4
88	так что	2	4
89	что все	2	4
90	и он	3	4
91	и до	2	4
92	он был	2	4
93	бы и	2	4
94	и то	2	4
95	но при	2	4
96	что она	2	4
97	говорит что	2	4
98	но все	2	4
99	мог бы	3	4
100	уже в	3	4
101	несмотря на	5	4
102	тем что	2	4
103	между этими	2	3
104	в году	9	3
105	в виде	2	3
106	в целом	4	3
107	с тем	2	3
108	не так	2	3
109	как это	3	3
110	потому что	2	3
111	если б	2	3
112	но это	4	3
113	этими двумя	2	3
114	но они	2	3
115	в дальнейшем	5	3
116	еще в	2	3
117	к жизни	5	3
118	с ним	3	3
119	тем самым	3	2
120	в частности	2	2
121	и за	2	2
122	собой но	2	2
123	у достоевского	5	2
124	в романе	10	2
125	что с	3	2
126	никто не	3	2
127	данном случае	2	2
128	нет в	2	2
129	его за	2	2
130	было в	2	2
131	не просто	2	2
132	что эти	2	2
