N	2gram	Vygotskiy_	KulturaY
1	и т	12	143
2	т п	5	93
3	и в	55	84
4	в том	50	74
5	потому что	48	68
6	не только	24	60
7	точки зрения	15	59
8	в этом	30	57
9	было бы	15	53
10	и не	19	52
11	может быть	34	47
12	том что	46	44
13	того чтобы	43	44
14	что в	43	44
15	т д	6	42
16	для того	45	41
17	в самом	18	41
18	у нас	7	38
19	самом деле	17	37
20	хотя бы	5	37
21	так как	20	36
22	с точки	5	36
23	в области	2	34
24	таким образом	35	33
25	а не	16	33
26	можно было	6	32
27	если бы	21	32
28	не в	12	30
29	прежде всего	6	30
30	в его	8	30
31	все же	11	29
32	того что	12	28
33	все эти	5	28
34	в силу	3	26
35	не может	15	25
36	то что	69	25
37	вовсе не	8	25
38	вопрос о	6	24
39	еще не	6	24
40	с другой	12	24
41	так и	6	23
42	то же	16	23
43	только в	12	23
44	с помощью	3	23
45	во всяком	2	20
46	но и	16	20
47	по себе	13	20
48	и что	45	20
49	то обстоятельство	2	19
50	что он	30	19
51	но в	7	19
52	обстоятельство что	2	19
53	зависимости от	9	19
54	тем что	8	19
55	о том	24	19
56	между тем	4	18
57	связи с	2	18
58	все это	8	18
59	в качестве	2	18
60	к тому	12	18
61	с тем	10	18
62	в сущности	14	18
63	как бы	33	18
64	и с	3	18
65	вместе с	16	18
66	это не	9	17
67	как раз	19	17
68	как это	16	17
69	что это	15	17
70	другой стороны	8	17
71	в той	3	17
72	слова и	2	17
73	в виду	5	16
74	ничего не	4	16
75	в зависимости	7	16
76	что не	5	16
77	что и	11	16
78	тот же	5	16
79	но не	9	16
80	по отношению	3	15
81	и тем	6	15
82	один из	9	15
83	а в	7	15
84	при этом	11	15
85	того как	4	15
86	в данном	4	15
87	должно быть	6	15
88	целый ряд	5	15
89	том чтобы	7	15
90	именно в	9	15
91	не было	2	15
92	как на	15	15
93	в нашем	3	15
94	в них	7	14
95	как мы	6	14
96	сказать что	14	14
97	мы имеем	10	14
98	отношению к	2	14
99	сих пор	9	14
100	что такое	2	14
101	если мы	24	14
102	и на	12	14
103	в ней	5	14
104	до сих	9	14
105	не могут	4	13
106	это и	7	13
107	по существу	4	13
108	что она	10	13
109	в пределах	3	13
110	в этой	15	13
111	в которых	4	13
112	для нас	9	13
113	там где	6	13
114	и его	10	13
115	той же	6	13
116	этот вопрос	6	12
117	для этого	12	12
118	вопроса о	2	12
119	с этой	5	12
120	как в	4	12
121	того же	5	12
122	могут быть	8	12
123	в результате	6	12
124	речь в	2	12
