N	2gram	Berdyaev_V	NovoeSre
1	а не	7	17
2	и в	16	16
3	во имя	32	15
4	и не	20	11
5	и есть	4	10
6	истории и	2	9
7	что в	3	9
8	жизни и	3	8
9	как не	3	8
10	в том	3	8
11	не будет	2	7
12	как и	4	7
13	в этом	4	7
14	никогда не	3	6
15	лишь в	3	6
16	ни в	3	6
17	не в	3	6
18	от бога	8	6
19	но это	3	6
20	с его	3	6
21	не только	2	5
22	в жизни	3	5
23	все это	5	5
24	в нем	4	5
25	в ней	4	5
26	должно быть	3	4
27	в них	3	4
28	и для	3	4
29	не имеет	3	4
30	прежде всего	2	4
31	не было	3	4
32	и потому	7	4
33	и мы	3	4
34	то что	9	4
35	это не	2	4
36	потому что	4	4
37	и все	4	4
38	государства и	2	4
39	имя свободы	3	3
40	в мире	5	3
41	в прошлом	2	3
42	но и	5	3
43	духа и	2	3
44	к тому	3	3
45	в своей	3	3
46	еще не	8	3
47	в истории	8	3
48	человека и	6	3
49	должна быть	3	3
50	конечно не	2	3
51	не есть	6	3
52	в духе	2	3
53	во всех	3	3
54	бога и	5	3
55	с тем	2	3
56	к богу	8	2
57	будет уже	2	2
58	одна из	2	2
59	но не	2	2
60	нет и	2	2
61	что все	4	2
62	не могли	2	2
63	того чтобы	2	2
64	и это	2	2
65	хотя бы	3	2
66	всемирной истории	3	2
67	свободы и	12	2
68	а в	2	2
69	но в	3	2
70	том что	2	2
71	не к	2	2
72	мир и	2	2
73	и что	3	2
74	все эти	3	2
75	мы не	2	2
76	жизни все	2	2
77	божественной жизни	2	2
78	вот почему	2	2
79	можно было	2	2
80	люди не	2	2
81	уже не	2	2
82	так и	4	2
83	нем нет	2	2
84	могут быть	2	2
85	хотя и	5	2
86	свободы от	3	2
87	к вечности	3	2
