N	2gram	Bakhtin_Fr	TeoriaLi
1	в качестве	5	33
2	не только	23	24
3	и в	67	24
4	в частности	4	23
5	то есть	49	22
6	может быть	4	22
7	в том	16	20
8	при этом	5	20
9	и не	23	17
10	а в	4	15
11	но и	23	14
12	так и	14	14
13	а не	6	14
14	в себе	3	14
15	но не	6	13
16	в этом	27	12
17	то же	18	12
18	но в	20	12
19	в его	17	12
20	том что	13	11
21	точки зрения	7	11
22	своего рода	7	11
23	и его	19	11
24	лишь в	3	10
25	как это	5	10
26	что в	14	10
27	в данном	4	9
28	не в	8	9
29	в искусстве	3	9
30	с другой	3	9
31	в то	17	9
32	только в	6	9
33	не может	9	8
34	как бы	18	8
35	в своей	6	8
36	же время	14	8
37	в своем	13	7
38	а также	4	7
39	во второй	3	7
40	в области	2	7
41	отличие от	3	7
42	в самом	7	7
43	в отличие	3	7
44	место в	3	7
45	не столько	5	7
46	и т.п	31	7
47	в нем	20	7
48	другой стороны	2	6
49	в первой	5	6
50	не менее	4	6
51	еще не	5	6
52	то что	9	6
53	или менее	2	6
54	как и	19	6
55	более или	2	6
56	с другими	3	6
57	между ними	4	6
58	в ее	2	6
59	в основе	6	6
60	с его	11	6
61	данном случае	4	5
62	по преимуществу	2	5
63	как в	4	5
64	как к	2	5
65	и одновременно	5	5
66	ни в	5	5
67	в виду	2	5
68	для того	8	5
69	и о	8	5
70	в пределах	2	5
71	для него	4	5
72	не случайно	3	5
73	между тем	3	5
74	того чтобы	9	5
75	того что	4	5
76	он не	9	5
77	в себя	6	5
78	можно сказать	4	5
79	никогда не	6	4
80	сказать что	12	4
81	в отношении	2	4
82	его в	10	4
83	самим собой	2	4
84	это не	5	4
85	во времени	2	4
86	так в	3	4
87	и ее	2	4
88	в форме	2	4
89	в другом	4	4
90	и т.д	2	4
91	в их	4	4
92	что он	7	4
93	текст в	2	4
94	по своему	5	4
95	в литературе	4	4
96	далеко не	6	4
97	к тому	4	4
98	того же	6	4
99	мира и	10	4
100	в целом	2	4
101	и что	3	4
102	говорить о	5	4
103	с ее	7	4
104	и сам	2	4
105	в нашем	3	4
106	хотя и	6	4
107	но он	5	4
108	даже в	5	3
109	и то	2	3
110	перед нами	6	3
111	и притом	2	3
112	во всех	20	3
113	из этих	4	3
114	одной стороны	2	3
115	о чем	5	3
116	не все	2	3
117	и для	4	3
118	человека с	5	3
119	и как	7	3
120	если бы	2	3
121	роль в	5	3
122	или в	3	3
123	он должен	2	3
124	подобно тому	2	3
125	в таком	2	3
126	одним из	7	3
127	а именно	2	3
128	в эпизоде	11	3
129	и вот	4	3
130	в романе	15	3
131	с одной	2	3
132	и др	11	3
133	есть в	5	3
134	в жизни	4	3
135	в акте	5	3
136	их в	2	3
137	но их	2	3
138	именно в	5	3
139	потому что	8	3
140	в сторону	2	3
141	тому как	2	3
142	том числе	6	3
143	во втором	3	3
144	говорит и	2	3
145	прежде всего	19	3
146	и к	7	3
147	на языке	3	3
148	не будет	2	3
149	с точки	5	3
150	все эти	12	3
151	и по	3	3
152	связи с	7	3
153	в связи	5	3
154	таким образом	20	3
155	нового времени	6	3
156	известной степени	4	3
157	например в	6	3
158	в этой	13	3
159	в одном	7	3
160	как раз	5	3
161	вовсе не	19	3
162	он оказывается	2	2
163	еще и	6	2
164	чтобы не	2	2
165	но она	5	2
166	на время	5	2
167	не могут	3	2
168	право на	10	2
169	то в	3	2
170	для всех	4	2
171	так же	13	2
172	если в	3	2
173	жизни на	2	2
174	тем более	3	2
175	и существенно	2	2
176	дело в	5	2
177	что она	4	2
178	за пределы	4	2
179	до известной	4	2
180	включает в	2	2
181	это было	4	2
182	об этом	5	2
183	но на	3	2
184	и даже	6	2
185	в конце	12	2
186	и здесь	6	2
187	и прежде	4	2
188	это и	10	2
189	внешнем мире	2	2
190	превращается в	5	2
191	времени и	4	2
192	казалось бы	2	2
193	жизни в	3	2
194	в значительной	2	2
195	у нас	3	2
196	к своему	2	2
197	и другие	5	2
198	самом начале	2	2
199	своей жизни	2	2
200	у него	4	2
201	самом деле	6	2
202	в чем	6	2
203	вместе с	5	2
204	в одно	2	2
205	не могло	3	2
206	на фоне	4	2
207	на котором	2	2
208	одной из	6	2
209	к нему	5	2
210	всей своей	2	2
211	числе и	3	2
212	и это	5	2
213	от всех	6	2
214	о том	8	2
215	в самой	8	2
216	вещами и	2	2
217	которая в	2	2
218	в мировой	3	2
219	и мира	2	2
220	если мы	3	2
221	образом и	2	2
222	должен быть	2	2
223	и на	12	2
224	соответствии с	2	2
225	значения и	2	2
226	на этом	7	2
227	в году	6	2
228	он и	6	2
229	один из	6	2
230	в них	12	2
231	в поэзии	3	2
232	мира с	2	2
233	несмотря на	3	2
234	здесь не	7	2
235	на мир	7	2
236	в той	2	2
237	это своего	2	2
238	что и	8	2
239	а затем	7	2
240	и больше	2	2
241	себя и	2	2
242	все это	15	2
243	более не	2	2
244	только о	2	2
245	что они	3	2
246	времени в	2	2
247	делает его	2	2
248	как будто	2	2
249	в первом	3	2
250	в большинстве	6	2
251	всех и	4	2
252	первой части	4	2
253	в системе	2	2
