N	2gram	Propp_Russ	Psycholo
1	то что	10	193
2	и в	59	190
3	в том	33	163
4	что в	35	123
5	потому что	15	114
6	том что	33	113
7	и что	8	108
8	может быть	14	107
9	таким образом	10	102
10	в этом	18	100
11	то есть	3	97
12	как бы	18	80
13	для того	6	78
14	того чтобы	6	78
15	что он	2	76
16	не только	28	75
17	на то	2	73
18	и не	6	73
19	что она	4	71
20	и т	13	69
21	точки зрения	3	69
22	не может	6	68
23	так как	25	63
24	так же	7	63
25	было бы	3	56
26	то же	6	54
27	о том	14	54
28	при этом	11	52
29	как и	19	51
30	что и	8	50
31	а не	3	50
32	что это	4	49
33	только в	4	46
34	к тому	4	45
35	не в	2	45
36	в этой	4	43
37	и все	4	42
38	вместе с	16	41
39	как это	11	40
40	но и	20	40
41	того что	6	39
42	и это	2	37
43	мы видим	2	37
44	и как	2	36
45	с тем	14	35
46	и его	2	34
47	как на	2	34
48	что все	2	33
49	когда он	3	33
50	все же	7	33
51	тому что	4	33
52	все это	12	32
53	в ней	3	31
54	мы не	11	31
55	в его	3	31
56	для нас	12	31
57	как будто	6	30
58	мы увидим	8	30
59	как в	10	30
60	и для	3	29
61	с точки	3	29
62	в нем	3	29
63	что они	8	28
64	увидим что	2	28
65	и то	2	28
66	мы можем	2	28
67	в своих	3	27
68	а в	16	27
69	и на	14	27
70	так что	4	26
71	и здесь	3	25
72	до конца	5	24
73	с таким	2	24
74	в целом	2	24
75	тем что	7	24
76	в своем	3	23
77	для этого	6	23
78	что если	2	23
79	могут быть	3	23
80	один из	10	23
81	т д	12	22
82	что у	3	22
83	когда мы	2	22
84	с этим	4	22
85	между тем	9	22
86	из них	12	22
87	как мы	11	21
88	том чтобы	3	21
89	в котором	2	21
90	в которых	8	21
91	в двух	2	21
92	она не	4	20
93	все эти	5	20
94	в то	3	20
95	тот же	2	20
96	это не	14	20
97	несмотря на	4	20
98	там где	3	20
99	мы имеем	7	20
100	на этом	6	20
101	мы должны	3	19
102	в какой	3	19
103	у него	2	19
104	в одном	4	19
105	что при	2	19
106	мы уже	2	19
107	на самом	3	18
108	перед нами	2	18
109	но в	5	18
110	что с	2	18
111	но не	7	18
112	в которой	3	18
113	с этой	2	18
114	можно было	3	18
115	в виду	3	17
116	одна из	12	17
117	что для	4	17
118	у нас	11	17
119	полагает что	8	17
120	из этих	6	17
121	но это	5	17
122	и о	4	17
123	так и	8	16
124	та же	4	16
125	не имеет	9	16
126	тому как	3	16
127	говорит о	3	16
128	и к	3	16
129	из которых	2	16
130	же как	5	16
131	к этому	7	16
132	в таком	5	16
133	и потому	3	15
134	еще не	7	15
135	далеко не	5	15
136	что именно	3	15
137	только на	4	15
138	в частности	2	15
139	в них	10	15
140	во всех	6	15
141	и так	2	15
142	не можем	5	15
143	не просто	3	15
144	прав когда	2	14
145	что на	5	14
146	с той	2	14
147	очевидно что	2	14
148	главным образом	5	14
149	по существу	7	14
150	с ним	2	14
151	прежде всего	2	14
152	эта теория	5	14
153	в области	3	14
154	того как	6	14
155	показывает что	9	14
156	такой же	3	14
157	в жизни	2	14
158	то время	3	14
159	или в	7	14
160	но он	3	14
161	должен был	3	13
162	как он	2	13
163	а с	6	13
164	именно в	3	13
165	этот вопрос	4	13
166	отнюдь не	3	13
167	но если	2	12
168	состоит в	18	12
169	что этот	4	12
170	совершенно очевидно	2	12
171	в этих	3	12
172	их в	7	12
173	в свою	3	12
174	ничего не	4	12
175	не менее	3	12
176	и другие	24	12
177	тогда когда	4	12
178	и до	3	12
179	например в	3	12
180	что эти	2	12
181	что по	7	12
182	об этом	11	12
183	и с	12	12
184	как только	2	12
185	и поэтому	3	11
186	он должен	2	11
187	отличие от	4	11
188	и из	3	11
189	так например	7	11
190	подобно тому	3	11
191	исходя из	2	11
192	этого слова	3	11
193	думать что	3	11
194	и других	9	11
195	его в	9	11
196	на все	3	11
197	мы видели	3	11
198	есть в	2	11
199	на этот	3	11
200	уже в	2	11
201	не было	3	11
202	данном случае	8	10
203	в тех	5	10
204	здесь мы	3	10
205	только тогда	3	10
206	не является	2	10
207	и их	4	10
208	во всем	2	10
209	и у	5	10
210	в их	5	10
211	в данном	7	10
212	должно быть	2	10
213	ее в	7	10
214	и от	2	10
215	вопрос о	4	9
216	и следовательно	2	9
217	и ее	3	9
218	в силу	2	9
219	ту же	2	9
220	и по	10	9
221	и наконец	2	9
222	но все	3	9
223	и другой	5	9
224	должен быть	2	9
225	о чем	7	9
226	в виде	10	9
227	но что	2	9
228	по своему	2	9
229	в него	2	9
230	с в	12	9
231	ответ на	2	9
232	по этому	4	9
233	которые не	3	9
234	его и	2	9
235	в отличие	4	9
236	по его	2	9
237	не к	3	9
238	и другими	3	8
239	такое же	2	8
240	этому поводу	3	8
241	и во	2	8
242	и более	3	8
243	представление о	5	8
244	место в	2	8
245	во время	23	8
246	к нему	3	8
247	жизнь и	2	8
248	будто бы	10	8
249	в москву	2	8
250	что здесь	4	7
251	это имеет	4	7
252	свою очередь	2	7
253	одно из	6	7
254	в руках	3	7
255	от этого	2	7
256	ее с	2	7
257	связи с	6	7
258	себя и	2	7
259	за ним	3	7
260	нас в	2	7
261	все что	2	7
262	представляет собой	5	7
263	же в	5	7
264	она в	4	7
265	в нашем	2	7
266	в глаза	3	7
267	и при	2	7
268	а на	8	7
269	и действительно	2	7
270	и те	3	7
271	на другой	2	7
272	в качестве	5	7
273	имеет место	3	7
274	к ним	4	7
275	и там	2	7
276	как они	2	7
277	в особенности	3	7
278	в течение	7	7
279	на которых	2	7
280	слова в	3	7
281	к жизни	3	7
282	в каждом	2	7
283	показывают что	3	6
284	он же	4	6
285	тот кто	2	6
286	на две	3	6
287	из самых	2	6
288	его с	4	6
289	не все	4	6
290	тем не	3	6
291	иное как	3	6
292	как не	2	6
293	что иное	3	6
294	на нее	5	6
295	оно не	2	6
296	должны будем	2	6
297	друг к	2	6
298	совпадают с	3	6
299	которые в	2	6
300	не что	3	6
301	каждый из	3	6
302	или же	2	6
303	она как	2	6
304	после этого	6	6
305	только с	2	6
306	так в	5	6
307	он был	2	6
308	образом в	2	6
309	то и	4	6
310	независимо от	3	6
311	значит что	2	6
312	всех этих	2	6
313	к ней	4	6
314	из нее	2	6
315	к другу	2	6
316	в первый	5	6
317	что есть	2	6
318	ее на	3	6
319	уже не	9	6
320	приводит к	4	6
321	заметить что	3	6
322	в русском	4	6
323	только как	2	6
324	говорить о	2	6
325	только одно	2	6
326	что ему	2	5
327	нас к	5	5
328	том же	6	5
329	у них	2	5
330	в один	2	5
331	в других	24	5
332	между собой	4	5
333	которое в	2	5
334	а затем	5	5
335	значение и	2	5
336	если в	3	5
337	в круг	3	5
338	ее от	2	5
339	только для	3	5
340	когда они	2	5
341	но они	4	5
342	но даже	2	5
343	сходство с	3	5
344	к таким	4	5
345	тем и	4	5
346	чем в	4	5
347	его к	3	5
348	или не	2	5
349	нас не	3	5
350	представляют собой	13	5
351	во всей	2	5
352	и еще	2	5
353	хотя и	3	5
354	но она	3	5
355	дело не	2	5
356	которые с	2	5
357	не значит	2	5
358	в эту	3	5
359	так чтобы	2	5
360	ни одна	2	5
361	и за	2	5
362	что ее	3	4
363	ее и	2	4
364	чем те	2	4
365	вплоть до	4	4
366	должны были	3	4
367	это на	2	4
368	к выводу	3	4
369	на место	2	4
370	должна была	6	4
371	к другому	2	4
372	означает что	2	4
373	предположить что	5	4
374	и под	4	4
375	который в	2	4
376	не с	5	4
377	что от	4	4
378	мнение что	2	4
379	значение в	2	4
380	так называемой	3	4
381	не на	2	4
382	этой цели	2	4
383	как у	2	4
384	можно сделать	3	4
385	после того	3	4
386	рассматриваться как	2	4
387	с собой	4	4
388	в день	12	4
389	и другим	3	4
390	находится в	3	4
391	к числу	2	4
392	разница между	2	4
393	вывод что	5	4
394	в настоящее	3	4
395	на тех	2	4
396	в это	4	4
397	но эта	2	4
398	чтобы вызвать	3	4
399	мы попытаемся	2	4
400	его от	2	4
401	подойти к	2	4
402	в свете	5	4
403	его жизнь	2	4
404	настоящее время	3	4
405	с ними	6	4
406	считает что	2	4
407	перед ней	2	4
408	в связи	4	4
409	в стороне	2	4
410	т е	41	4
411	как например	6	4
