N	2gram	Bakhtin_fo	Stilisti
1	и в	84	42
2	как бы	11	30
3	не только	16	28
4	и т.п	6	25
5	прежде всего	28	22
6	и т.д	2	21
7	хотя бы	2	18
8	то же	18	16
9	но и	14	16
10	и не	19	14
11	не может	8	13
12	может быть	18	13
13	как и	15	12
14	точки зрения	14	11
15	что мы	2	11
16	мы уже	17	11
17	в себе	7	10
18	и как	12	10
19	отнюдь не	7	10
20	мы должны	2	10
21	в этом	41	10
22	как мы	19	10
23	в то	13	9
24	для того	12	9
25	все же	12	9
26	то что	13	9
27	при этом	8	9
28	мы не	4	9
29	ничего не	9	8
30	так как	12	8
31	и это	5	8
32	с тем	5	8
33	в ней	4	8
34	таким образом	14	8
35	с его	10	8
36	никогда не	8	7
37	и от	3	7
38	в которой	3	7
39	мы можем	2	7
40	же время	13	7
41	так и	17	7
42	потому что	11	7
43	только в	12	7
44	а не	7	7
45	и на	13	7
46	того чтобы	11	7
47	было бы	2	7
48	и его	26	7
49	той же	2	7
50	одно и	4	6
51	или иной	4	6
52	когда мы	2	6
53	и так	2	6
54	во всех	13	6
55	не в	10	6
56	точку зрения	3	6
57	в конце	11	6
58	или как	5	6
59	в нем	28	6
60	в свою	2	6
61	в процессе	4	6
62	в его	19	6
63	в форме	5	6
64	в этой	3	6
65	мы будем	5	6
66	с помощью	5	6
67	и то	5	5
68	и следовательно	5	5
69	в нашем	3	5
70	связанных с	3	5
71	то есть	42	5
72	мы увидим	2	5
73	слова и	4	5
74	не является	4	5
75	и наконец	6	5
76	и их	11	5
77	своей жизни	6	5
78	самом деле	2	5
79	как это	2	5
80	мы видели	2	5
81	но все	6	5
82	и является	2	5
83	а в	6	5
84	но в	16	5
85	те же	5	5
86	в самом	9	5
87	и с	10	5
88	уже в	5	5
89	в той	5	5
90	с точки	9	5
91	же самое	2	5
92	вместе с	9	5
93	да и	4	4
94	в одном	10	4
95	так же	7	4
96	так сказать	14	4
97	о своей	2	4
98	само собой	2	4
99	в данной	2	4
100	его в	8	4
101	если бы	6	4
102	лишь в	8	4
103	у нас	2	4
104	влияние на	6	4
105	к своему	2	4
106	того что	5	4
107	всего в	4	4
108	самого начала	3	4
109	один из	5	4
110	и все	10	4
111	в каждом	2	4
112	с самого	3	4
113	к тому	6	4
114	о том	4	4
115	и пр	2	4
116	точка зрения	4	4
117	если мы	2	4
118	уже не	5	4
119	и к	4	4
120	в целом	2	4
121	мы видим	4	4
122	той или	3	4
123	было в	2	4
124	связаны с	3	4
125	все это	10	4
126	в качестве	6	4
127	себя в	2	4
128	можно сказать	2	4
129	не к	2	4
130	тем же	3	4
131	сказать что	4	3
132	это не	8	3
133	том что	7	3
134	в начале	3	3
135	и эта	2	3
136	но для	2	3
